|BUKRS|GJAHR|BELNR     |BUZEI|SHKZG|        DMBTR|        WRBTR|HKONT     |SGTXT                                             |AUGDT   |AUGCP   |AUGBL     |LIFNR     |
|1700 |2024 |0102000005|001  |H    |       48,76 |       48,76 |0041000000|PLAN DE FORMACION BONIFICADA 2023 - DERIVALYA     |20240129|20240129|0103000006|0000531203|
|1700 |2024 |0102000005|002  |S    |       40,30 |       40,30 |0041099999|PLAN DE FORMACION BONIFICADA 2023 - DERIVALYA     |20240108|20240108|0110009402|          |
|1700 |2024 |0102000005|003  |S    |        8,46 |        8,46 |0047200000|3798-2023 - DERIVALYA FORMACION, DESARROLLO       |00000000|00000000|          |          |
|1700 |2024 |0102000006|001  |H    |       60,50 |       60,50 |0040000000|LOTES DE NAVIDAD 2023 - CAMPOFR O                 |20240307|20240307|0110077023|0000501131|
|1700 |2024 |0102000006|002  |S    |       55,00 |       55,00 |0041099999|LOTES DE NAVIDAD 2023 - CAMPOFR O                 |20240307|20240307|0110077024|          |
|1700 |2024 |0102000006|003  |S    |        5,50 |        5,50 |0047200000|5309562232 - CAMPOFRIO FOOD GROUP S.A             |00000000|00000000|          |          |
|1700 |2024 |0102000007|001  |H    |      121,00 |      121,00 |0040000000|LOTES DE NAVIDAD 2023 - CAMPOFR O                 |20240307|20240307|0110077023|0000501131|
|1700 |2024 |0102000007|002  |S    |      110,00 |      110,00 |0041099999|LOTES DE NAVIDAD 2023 - CAMPOFR O                 |20240307|20240307|0110077024|          |
|1700 |2024 |0102000007|003  |S    |       11,00 |       11,00 |0047200000|5309575067 - CAMPOFRIO FOOD GROUP S.A             |00000000|00000000|          |          |
|1700 |2024 |0102000008|001  |H    |      121,24 |      121,24 |0040000000|FOTOCOPIAS OCT - DIC 23 - RICOH                   |20240129|20240129|0103000003|0000504172|
|1700 |2024 |0102000008|002  |S    |      100,20 |      100,20 |0041099999|FOTOCOPIAS OCT - DIC 23 - RICOH                   |20240116|20240116|0110026749|          |
|1700 |2024 |0102000008|003  |S    |       21,04 |       21,04 |0047200000|844485229 - RICOH ESPA A S.L.                     |00000000|00000000|          |          |
|1700 |2024 |0102000009|001  |H    |      605,00 |      605,00 |0041300000|Prestaci n servicios centrales corporativos 2023  |20240213|20240213|0110054605|80A223    |
|1700 |2024 |0102000009|002  |S    |      500,00 |      500,00 |0041309999|Prestaci n servicios centrales corporativos 2023  |20240117|20240117|0110026750|          |
|1700 |2024 |0102000009|003  |S    |      105,00 |      105,00 |0047200000|4200-24000088 - Hoteles Tur sticos Unidos, S.A.   |00000000|00000000|          |          |
|1700 |2024 |0102000010|001  |H    |      121,21 |      121,21 |0041000000|MINUTA AA/232510 EI                               |20240117|20240117|0110026752|0000524354|
|1700 |2024 |0102000010|002  |S    |      112,37 |      112,37 |0041099999|MINUTA AA/232510 EI                               |20240117|20240117|0110026751|          |
|1700 |2024 |0102000010|003  |S    |        2,10 |        2,10 |0041099999|MINUTA AA/232510 EI                               |20240117|20240117|0110026751|          |
|1700 |2024 |0102000010|004  |S    |       23,60 |       23,60 |0047200000|AA/232510 - ANTONIO BOSCH CARRERA                 |00000000|00000000|          |          |
|1700 |2024 |0102000010|005  |H    |       16,86 |       16,86 |0047510001|AA/232510 - ANTONIO BOSCH CARRERA                 |20240422|20240515|0110166398|          |
|1700 |2024 |0102000011|001  |H    |      183,74 |      183,74 |0041000000|MINUTA AA/232511 EI                               |20240117|20240117|0110026753|0000524354|
|1700 |2024 |0102000011|002  |S    |      170,51 |      170,51 |0041099999|MINUTA AA/232511 EI                               |20240117|20240117|0110026751|          |
|1700 |2024 |0102000011|003  |S    |        3,00 |        3,00 |0041099999|MINUTA AA/232511 EI                               |20240117|20240117|0110026751|          |
