journal_entry_id,gl_account_number,amount,debit_amount,credit_amount,debit_credit_indicator
100000416,645160,110.77,110.77,0.0,S
100000416,645160,1963.55,1963.55,0.0,S
100000416,431000,-4864.35,0.0,4864.35,H
100000416,447300,-10783.0,0.0,10783.0,H
100000416,641100,9107.14,9107.14,0.0,S
100000416,645160,208.5,208.5,0.0,S
100000416,431000,-9149.83,0.0,9149.83,H
100000416,645218,1850.0,1850.0,0.0,S
100000416,645218,318.75,318.75,0.0,S
100000416,645218,600.0,600.0,0.0,S
100000416,431000,-1164.13,0.0,1164.13,H
100000416,431000,-110.77,0.0,110.77,H
100000416,641100,3714.29,3714.29,0.0,S
100000416,645218,900.0,900.0,0.0,S
100000416,421000,-28349.97,0.0,28349.97,H
100000416,641100,8571.43,8571.43,0.0,S
100000416,641100,18935.71,18935.71,0.0,S
100000417,120000,-41926.94,0.0,41926.94,H
100000417,110000,41926.94,41926.94,0.0,S
100000418,408122,398.78,398.78,0.0,S
100000418,706542,-398.78,0.0,398.78,H
100000419,706542,-2584.99,0.0,2584.99,H
100000419,408122,2584.99,2584.99,0.0,S
100000420,418100,3600.0,3600.0,0.0,S
100000420,408122,-3600.0,0.0,3600.0,H
100000421,658000,0.1,0.1,0.0,S
100000421,408122,-0.1,0.0,0.1,H
100000427,411100,1.83,1.83,0.0,S
100000427,411100,-1.83,0.0,1.83,H
100000430,613200,1800.9,1800.9,0.0,S
100000430,613200,-1811.25,0.0,1811.25,H
100000430,613200,-1800.9,0.0,1800.9,H
100000430,613200,1811.25,1811.25,0.0,S
100000431,445310,-3169.4,0.0,3169.4,H
100000431,445310,114.67,114.67,0.0,S
100000431,445620,-20199.38,0.0,20199.38,H
100000431,445602,-118.31,0.0,118.31,H
100000431,445310,23372.42,23372.42,0.0,S
100000446,51120914,-32921.54,0.0,32921.54,H
100000446,51120914,32921.54,32921.54,0.0,S
100000447,706542,1176.22,1176.22,0.0,S
100000447,408101,-1176.22,0.0,1176.22,H
100000458,658000,133642.0,133642.0,0.0,S
100000458,658000,29808.0,29808.0,0.0,S
100000458,604300,-133642.0,0.0,133642.0,H
100000458,604300,-29808.0,0.0,29808.0,H
100000459,626130,47.12,47.12,0.0,S
100000459,423000,-47.12,0.0,47.12,H
100000460,625300,52.12,52.12,0.0,S
100000460,625300,164.9,164.9,0.0,S
100000460,625300,52.12,52.12,0.0,S
100000460,625300,24.3,24.3,0.0,S
100000460,625700,42.99,42.99,0.0,S
100000460,625300,46.22,46.22,0.0,S
100000460,423000,-382.65,0.0,382.65,H
100000464,625300,89.35,89.35,0.0,S
100000464,423000,-403.33,0.0,403.33,H
100000464,625300,89.35,89.35,0.0,S
100000464,625300,17.99,17.99,0.0,S
100000464,625300,89.35,89.35,0.0,S
100000464,625300,48.42,48.42,0.0,S
100000464,625300,19.57,19.57,0.0,S
100000464,625300,49.3,49.3,0.0,S
100000466,51120914,31059.33,31059.33,0.0,S
100000466,51120914,-31059.33,0.0,31059.33,H
100000467,641311,935.0,935.0,0.0,S
100000467,421000,-935.0,0.0,935.0,H
100000468,641311,8708.33,8708.33,0.0,S
100000468,421000,-8708.33,0.0,8708.33,H
100000469,641311,416.67,416.67,0.0,S
100000469,641311,650.0,650.0,0.0,S
100000469,421000,-1066.67,0.0,1066.67,H
100000470,641311,3187.5,3187.5,0.0,S
100000470,421000,-4062.5,0.0,4062.5,H
100000470,641311,875.0,875.0,0.0,S
100000471,487000,-300.0,0.0,300.0,H
100000471,706100,300.0,300.0,0.0,S
100000472,445500,3492.69,3492.69,0.0,S
100000472,445602,-40.65,0.0,40.65,H
100000472,445620,-12785.65,0.0,12785.65,H
100000472,445310,47.57,47.57,0.0,S
100000472,445310,9286.04,9286.04,0.0,S
100000473,645160,110.77,110.77,0.0,S
100000473,645160,312.75,312.75,0.0,S
100000473,645160,4281.41,4281.41,0.0,S
100000473,645160,2025.8,2025.8,0.0,S
100000473,641100,9107.14,9107.14,0.0,S
100000473,641100,18935.71,18935.71,0.0,S
100000473,645160,642.88,642.88,0.0,S
100000473,645160,208.5,208.5,0.0,S
100000473,645160,1963.55,1963.55,0.0,S
100000473,645160,799.15,799.15,0.0,S
100000473,431000,-4944.27,0.0,4944.27,H
100000473,431000,-1164.13,0.0,1164.13,H
100000473,431000,-9069.91,0.0,9069.91,H
100000473,431000,-110.77,0.0,110.77,H
100000473,645218,600.0,600.0,0.0,S
100000473,641100,3714.29,3714.29,0.0,S
100000473,645218,900.0,900.0,0.0,S
100000473,645218,1850.0,1850.0,0.0,S
100000473,645218,318.75,318.75,0.0,S
100000473,641100,8571.43,8571.43,0.0,S
100000473,447300,-11929.0,0.0,11929.0,H
100000473,421000,-27124.05,0.0,27124.05,H
100000474,421000,-1882.15,0.0,1882.15,H
100000474,641321,595.24,595.24,0.0,S
100000474,641321,619.05,619.05,0.0,S
100000474,641321,667.86,667.86,0.0,S
100000475,641321,833.33,833.33,0.0,S
100000475,641321,2488.1,2488.1,0.0,S
100000475,641321,1517.86,1517.86,0.0,S
100000475,421000,-4839.29,0.0,4839.29,H
100000477,625300,5.5,5.5,0.0,S
100000477,625300,19.43,19.43,0.0,S
100000477,625300,3.6,3.6,0.0,S
100000477,625300,330.3,330.3,0.0,S
100000477,625300,10.5,10.5,0.0,S
100000477,625300,5.5,5.5,0.0,S
100000477,625300,21.02,21.02,0.0,S
100000477,423000,-1003.52,0.0,1003.52,H
100000477,625714,12.0,12.0,0.0,S
100000477,625300,3.6,3.6,0.0,S
100000477,625300,11.6,11.6,0.0,S
100000477,625300,37.88,37.88,0.0,S
100000477,626130,52.37,52.37,0.0,S
100000477,625714,9.36,9.36,0.0,S
100000477,625714,25.24,25.24,0.0,S
100000477,625714,15.9,15.9,0.0,S
100000477,625711,88.5,88.5,0.0,S
100000477,625714,24.0,24.0,0.0,S
100000477,625711,101.75,101.75,0.0,S
100000477,625714,17.3,17.3,0.0,S
100000477,625714,23.5,23.5,0.0,S
100000477,625714,5.35,5.35,0.0,S
100000477,625714,15.25,15.25,0.0,S
100000477,625714,7.9,7.9,0.0,S
100000477,625300,31.4,31.4,0.0,S
100000477,625300,29.1,29.1,0.0,S
100000477,625300,50.0,50.0,0.0,S
100000477,625300,5.5,5.5,0.0,S
100000477,625300,5.5,5.5,0.0,S
100000477,625300,10.5,10.5,0.0,S
100000477,625300,5.5,5.5,0.0,S
100000477,625300,9.0,9.0,0.0,S
100000477,625714,2.06,2.06,0.0,S
100000477,625714,2.06,2.06,0.0,S
100000477,625714,5.55,5.55,0.0,S
100000478,625300,4.59,4.59,0.0,S
100000478,625714,26.25,26.25,0.0,S
100000478,625714,2.65,2.65,0.0,S
100000478,625714,9.51,9.51,0.0,S
100000478,625714,19.43,19.43,0.0,S
100000478,625714,9.1,9.1,0.0,S
100000478,625300,16.24,16.24,0.0,S
100000478,625300,8.07,8.07,0.0,S
100000478,625300,79.52,79.52,0.0,S
100000478,625300,3.6,3.6,0.0,S
100000478,423000,-271.48,0.0,271.48,H
100000478,625300,87.47,87.47,0.0,S
100000478,625300,5.05,5.05,0.0,S
100000479,411100,-3040.49,0.0,3040.49,H
100000479,401100,3040.49,3040.49,0.0,S
100000490,401100,5788.2,5788.2,0.0,S
100000490,401100,-5788.2,0.0,5788.2,H
100000493,625300,178.9,178.9,0.0,S
100000493,625700,42.99,42.99,0.0,S
100000493,625300,14.89,14.89,0.0,S
100000493,625300,44.75,44.75,0.0,S
100000493,625300,178.9,178.9,0.0,S
100000493,625300,52.12,52.12,0.0,S
100000493,625300,12.36,12.36,0.0,S
100000493,625300,55.83,55.83,0.0,S
100000493,423000,-632.86,0.0,632.86,H
100000493,625300,52.12,52.12,0.0,S
100000494,625700,58.0,58.0,0.0,S
100000494,625714,23.7,23.7,0.0,S
100000494,625300,10.0,10.0,0.0,S
100000494,625300,299.8,299.8,0.0,S
100000494,625300,14.2,14.2,0.0,S
100000494,625714,78.2,78.2,0.0,S
100000494,625714,11.4,11.4,0.0,S
100000494,625300,10.0,10.0,0.0,S
100000494,625714,13.25,13.25,0.0,S
100000494,625714,13.12,13.12,0.0,S
100000494,423000,-589.19,0.0,589.19,H
100000494,625300,57.52,57.52,0.0,S
100000496,706513,-2236.2,0.0,2236.2,H
100000496,408101,2236.2,2236.2,0.0,S
100000501,411100,-762.5,0.0,762.5,H
100000501,501998,762.5,762.5,0.0,S
100000502,501998,-762.5,0.0,762.5,H
100000502,401100,762.5,762.5,0.0,S
100000510,411100,-746.32,0.0,746.32,H
100000510,501998,746.32,746.32,0.0,S
100000511,423000,-125.1,0.0,125.1,H
100000511,623400,125.1,125.1,0.0,S
100000512,625300,41.59,41.59,0.0,S
100000512,625714,4.9,4.9,0.0,S
100000512,625714,13.0,13.0,0.0,S
100000512,423000,-153.53,0.0,153.53,H
100000512,625300,28.5,28.5,0.0,S
100000512,625300,19.04,19.04,0.0,S
100000512,625300,35.0,35.0,0.0,S
100000512,625714,11.5,11.5,0.0,S
100000513,401100,746.32,746.32,0.0,S
100000513,501998,-746.32,0.0,746.32,H
100000514,641100,-1320.0,0.0,1320.0,H
100000514,401100,1320.0,1320.0,0.0,S
100000515,401100,1320.0,1320.0,0.0,S
100000515,641100,-1320.0,0.0,1320.0,H
100000516,641100,-1540.0,0.0,1540.0,H
100000516,401100,1540.0,1540.0,0.0,S
100000518,641100,-1540.0,0.0,1540.0,H
100000518,401100,1540.0,1540.0,0.0,S
100000519,401100,1485.0,1485.0,0.0,S
100000519,641100,-1485.0,0.0,1485.0,H
100000520,641311,935.0,935.0,0.0,S
100000520,421000,-935.0,0.0,935.0,H
100000521,421000,-6500.0,0.0,6500.0,H
100000521,641311,6500.0,6500.0,0.0,S
100000522,421000,-1466.67,0.0,1466.67,H
100000522,641311,1050.0,1050.0,0.0,S
100000522,641311,416.67,416.67,0.0,S
100000523,421000,-4062.5,0.0,4062.5,H
100000523,641311,875.0,875.0,0.0,S
100000523,641311,3187.5,3187.5,0.0,S
100000524,641311,-1851.3,0.0,1851.3,H
100000524,421000,1851.3,1851.3,0.0,S
100000525,421000,12870.0,12870.0,0.0,S
100000525,641311,-12870.0,0.0,12870.0,H
100000526,51120914,32972.37,32972.37,0.0,S
100000526,51120914,-32972.37,0.0,32972.37,H
100000528,613500,-11908.78,0.0,11908.78,H
100000528,615400,11908.78,11908.78,0.0,S
100000529,641321,667.86,667.86,0.0,S
100000529,641321,665.91,665.91,0.0,S
100000529,421000,-1929.01,0.0,1929.01,H
100000529,641321,595.24,595.24,0.0,S
100000530,641321,2446.03,2446.03,0.0,S
100000530,641321,833.33,833.33,0.0,S
100000530,641321,1517.86,1517.86,0.0,S
100000530,421000,-4797.22,0.0,4797.22,H
100000531,431000,-1164.13,0.0,1164.13,H
100000531,645160,6923.87,6923.87,0.0,S
100000531,645218,318.75,318.75,0.0,S
100000531,645218,900.0,900.0,0.0,S
100000531,645218,600.0,600.0,0.0,S
100000531,645218,1850.0,1850.0,0.0,S
100000531,641310,14721.3,14721.3,0.0,S
100000531,641100,6114.29,6114.29,0.0,S
100000531,641100,8571.43,8571.43,0.0,S
100000531,641100,9107.14,9107.14,0.0,S
100000531,641100,18683.33,18683.33,0.0,S
100000531,645160,1446.76,1446.76,0.0,S
100000531,431000,-110.77,0.0,110.77,H
100000531,641100,915.45,915.45,0.0,S
100000531,641100,2581.17,2581.17,0.0,S
100000531,641100,915.45,915.45,0.0,S
100000531,447300,-16823.0,0.0,16823.0,H
100000531,645160,2025.8,2025.8,0.0,S
100000531,421000,-35439.33,0.0,35439.33,H
100000531,645160,208.5,208.5,0.0,S
100000531,421000,-5579.75,0.0,5579.75,H
100000531,421000,79.92,79.92,0.0,S
100000531,431000,-12359.98,0.0,12359.98,H
100000531,431000,-7516.15,0.0,7516.15,H
100000531,645160,110.77,110.77,0.0,S
100000531,645160,642.88,642.88,0.0,S
100000531,645160,312.75,312.75,0.0,S
100000531,645160,1963.55,1963.55,0.0,S
100000534,445310,-11609.05,0.0,11609.05,H
100000534,445310,38085.32,38085.32,0.0,S
100000534,445310,282.61,282.61,0.0,S
100000534,445620,-26758.88,0.0,26758.88,H
100000535,706513,-151934.4,0.0,151934.4,H
100000535,408101,151934.4,151934.4,0.0,S
100000536,491000,315.04,315.04,0.0,S
100000536,491000,1267.16,1267.16,0.0,S
100000536,491000,416.59,416.59,0.0,S
100000536,681740,-1998.79,0.0,1998.79,H
100000537,681740,1317.38,1317.38,0.0,S
100000537,491000,-439.83,0.0,439.83,H
100000537,491000,-460.97,0.0,460.97,H
100000537,491000,-416.58,0.0,416.58,H
100000543,487998,-12637.14,0.0,12637.14,H
100000543,487998,12637.1,12637.1,0.0,S
100000543,707100,0.04,0.04,0.0,S
100000544,626130,47.12,47.12,0.0,S
100000544,423000,-47.12,0.0,47.12,H
100000552,51120914,47987.14,47987.14,0.0,S
100000552,51120914,-47987.14,0.0,47987.14,H
100000565,423000,-1499.0,0.0,1499.0,H
100000565,625300,1499.0,1499.0,0.0,S
100000566,615400,7921.43,7921.43,0.0,S
100000566,615400,6143.39,6143.39,0.0,S
100000566,613500,-6143.39,0.0,6143.39,H
100000566,613500,-7921.43,0.0,7921.43,H
100000567,628430,455.4,455.4,0.0,S
100000567,628430,-146.1,0.0,146.1,H
100000567,628430,146.1,146.1,0.0,S
100000567,628430,-455.4,0.0,455.4,H
100000569,625300,10.0,10.0,0.0,S
100000569,625300,306.74,306.74,0.0,S
100000569,625300,23.06,23.06,0.0,S
100000569,423000,-427.08,0.0,427.08,H
100000569,625300,9.2,9.2,0.0,S
100000569,625714,78.08,78.08,0.0,S
100000570,706513,-3324.06,0.0,3324.06,H
100000570,408101,3324.06,3324.06,0.0,S
100000571,423000,-39.99,0.0,39.99,H
100000571,626130,39.99,39.99,0.0,S
100000577,51120914,80000.0,80000.0,0.0,S
100000577,451B23,-80000.0,0.0,80000.0,H
100000581,423000,-303.13,0.0,303.13,H
100000581,625714,3.3,3.3,0.0,S
100000581,625300,4.52,4.52,0.0,S
100000581,625300,31.15,31.15,0.0,S
100000581,625300,21.05,21.05,0.0,S
100000581,625300,5.21,5.21,0.0,S
100000581,625300,47.4,47.4,0.0,S
100000581,623400,138.5,138.5,0.0,S
100000581,625714,4.6,4.6,0.0,S
100000581,625300,47.4,47.4,0.0,S
100000585,421000,-935.0,0.0,935.0,H
100000585,641311,935.0,935.0,0.0,S
100000586,421000,-9687.5,0.0,9687.5,H
100000586,641311,6500.0,6500.0,0.0,S
100000586,641311,3187.5,3187.5,0.0,S
100000587,641311,416.67,416.67,0.0,S
100000587,641311,1050.0,1050.0,0.0,S
100000587,421000,-1466.67,0.0,1466.67,H
100000588,641311,875.0,875.0,0.0,S
100000588,421000,-875.0,0.0,875.0,H
100000589,641311,-2805.0,0.0,2805.0,H
100000589,421000,2805.0,2805.0,0.0,S
100000590,641311,-20500.0,0.0,20500.0,H
100000590,421000,20500.0,20500.0,0.0,S
100000591,641311,-2600.0,0.0,2600.0,H
100000591,641311,-2500.0,0.0,2500.0,H
100000591,421000,5100.0,5100.0,0.0,S
100000592,641311,-19125.0,0.0,19125.0,H
100000592,641311,-5250.0,0.0,5250.0,H
100000592,421000,24375.0,24375.0,0.0,S
100000593,51120914,-64421.09,0.0,64421.09,H
100000593,51120914,64421.09,64421.09,0.0,S
100000595,411100,-2414.15,0.0,2414.15,H
100000595,401100,2414.15,2414.15,0.0,S
100000596,641100,9107.14,9107.14,0.0,S
100000596,421000,-4766.59,0.0,4766.59,H
100000596,421000,-45.56,0.0,45.56,H
100000596,447300,-18148.0,0.0,18148.0,H
100000596,645160,5321.14,5321.14,0.0,S
100000596,641310,3117.91,3117.91,0.0,S
100000596,431000,-6894.35,0.0,6894.35,H
100000596,641310,1584.2,1584.2,0.0,S
100000596,641310,7872.6,7872.6,0.0,S
100000596,641310,6837.1,6837.1,0.0,S
100000596,645218,600.0,600.0,0.0,S
100000596,645218,318.75,318.75,0.0,S
100000596,641100,8571.43,8571.43,0.0,S
100000596,645160,110.77,110.77,0.0,S
100000596,645160,312.75,312.75,0.0,S
100000596,421000,-32906.06,0.0,32906.06,H
100000596,641100,7142.86,7142.86,0.0,S
100000596,431000,-110.77,0.0,110.77,H
100000596,431000,-955.63,0.0,955.63,H
100000596,431000,-13741.33,0.0,13741.33,H
100000596,645218,900.0,900.0,0.0,S
100000596,645218,1250.0,1250.0,0.0,S
100000596,645160,308.57,308.57,0.0,S
100000596,645160,434.38,434.38,0.0,S
100000596,645160,2766.3,2766.3,0.0,S
100000596,645160,2066.53,2066.53,0.0,S
100000596,645160,3587.36,3587.36,0.0,S
100000596,645160,208.5,208.5,0.0,S
100000596,641100,15150.0,15150.0,0.0,S
100000597,641321,1190.48,1190.48,0.0,S
100000597,641321,667.86,667.86,0.0,S
100000597,641321,595.24,595.24,0.0,S
100000597,421000,-2453.58,0.0,2453.58,H
100000598,641321,1517.86,1517.86,0.0,S
100000598,421000,-4208.33,0.0,4208.33,H
100000598,641321,833.33,833.33,0.0,S
100000598,641321,1857.14,1857.14,0.0,S
100000603,445310,-254.92,0.0,254.92,H
100000603,445310,29822.16,29822.16,0.0,S
100000603,445620,-29558.95,0.0,29558.95,H
100000603,445310,171.34,171.34,0.0,S
100000603,445602,-179.63,0.0,179.63,H
100000605,645160,-308.57,0.0,308.57,H
100000605,421000,308.57,308.57,0.0,S
100000607,625714,2.8,2.8,0.0,S
100000607,625714,22.1,22.1,0.0,S
100000607,625714,6.87,6.87,0.0,S
100000607,625714,6.1,6.1,0.0,S
100000607,625300,75.46,75.46,0.0,S
100000607,625711,78.0,78.0,0.0,S
100000607,625300,11.3,11.3,0.0,S
100000607,625300,10.5,10.5,0.0,S
100000607,625714,1.3,1.3,0.0,S
100000607,625300,10.0,10.0,0.0,S
100000607,625300,6.0,6.0,0.0,S
100000607,625300,22.26,22.26,0.0,S
100000607,625711,6.34,6.34,0.0,S
100000607,625714,3.79,3.79,0.0,S
100000607,625714,5.0,5.0,0.0,S
100000607,623400,233.25,233.25,0.0,S
100000607,423000,-1296.41,0.0,1296.41,H
100000607,625714,6.81,6.81,0.0,S
100000607,625300,12.4,12.4,0.0,S
100000607,625300,42.42,42.42,0.0,S
100000607,625300,19.69,19.69,0.0,S
100000607,625300,658.0,658.0,0.0,S
100000607,625300,21.0,21.0,0.0,S
100000607,625300,10.0,10.0,0.0,S
100000607,625714,25.02,25.02,0.0,S
100000612,628430,10.5,10.5,0.0,S
100000612,628430,-10.5,0.0,10.5,H
100000628,625300,4349.95,4349.95,0.0,S
100000628,423000,-4349.95,0.0,4349.95,H
100000629,706542,15.03,15.03,0.0,S
100000629,408101,-15.03,0.0,15.03,H
100000630,625300,27.0,27.0,0.0,S
100000630,423000,-1281.32,0.0,1281.32,H
100000630,625300,29.22,29.22,0.0,S
100000630,625300,10.0,10.0,0.0,S
100000630,625714,28.07,28.07,0.0,S
100000630,625300,17.4,17.4,0.0,S
100000630,625300,645.3,645.3,0.0,S
100000630,625300,18.55,18.55,0.0,S
100000630,625300,24.4,24.4,0.0,S
100000630,625714,2.06,2.06,0.0,S
100000630,625714,0.8,0.8,0.0,S
100000630,625714,20.0,20.0,0.0,S
100000630,625714,12.0,12.0,0.0,S
100000630,625714,5.25,5.25,0.0,S
100000630,625714,7.75,7.75,0.0,S
100000630,625714,8.05,8.05,0.0,S
100000630,625714,5.0,5.0,0.0,S
100000630,625714,50.5,50.5,0.0,S
100000630,625714,27.23,27.23,0.0,S
100000630,625714,4.5,4.5,0.0,S
100000630,623400,50.5,50.5,0.0,S
100000630,625300,15.8,15.8,0.0,S
100000630,625300,10.0,10.0,0.0,S
100000630,625714,35.09,35.09,0.0,S
100000630,625300,23.46,23.46,0.0,S
100000630,625300,22.2,22.2,0.0,S
100000630,625714,1.3,1.3,0.0,S
100000630,625714,25.8,25.8,0.0,S
100000630,625714,1.3,1.3,0.0,S
100000630,625714,7.04,7.04,0.0,S
100000630,625714,1.3,1.3,0.0,S
100000630,625300,74.0,74.0,0.0,S
100000630,625714,2.2,2.2,0.0,S
100000630,625711,68.25,68.25,0.0,S
100000632,641311,935.0,935.0,0.0,S
100000632,421000,-935.0,0.0,935.0,H
100000633,421000,-7812.5,0.0,7812.5,H
100000633,641311,4625.0,4625.0,0.0,S
100000633,641311,3187.5,3187.5,0.0,S
100000634,421000,-1466.67,0.0,1466.67,H
100000634,641311,1050.0,1050.0,0.0,S
100000634,641311,416.67,416.67,0.0,S
100000635,421000,-875.0,0.0,875.0,H
100000635,641311,875.0,875.0,0.0,S
100000637,51120914,-16130.74,0.0,16130.74,H
100000637,51120914,16130.74,16130.74,0.0,S
100000639,645218,900.0,900.0,0.0,S
100000639,645218,1250.0,1250.0,0.0,S
100000639,421000,-4766.59,0.0,4766.59,H
100000639,421000,-45.56,0.0,45.56,H
100000639,447300,-18148.0,0.0,18148.0,H
100000639,641100,9107.14,9107.14,0.0,S
100000639,641100,7142.86,7142.86,0.0,S
100000639,421000,-32906.06,0.0,32906.06,H
100000639,645160,208.5,208.5,0.0,S
100000639,431000,-13741.33,0.0,13741.33,H
100000639,431000,-955.63,0.0,955.63,H
100000639,641100,15150.0,15150.0,0.0,S
100000639,431000,-6894.35,0.0,6894.35,H
100000639,641100,8571.43,8571.43,0.0,S
100000639,645160,308.57,308.57,0.0,S
100000639,645160,110.77,110.77,0.0,S
100000639,645218,600.0,600.0,0.0,S
100000639,645160,3587.36,3587.36,0.0,S
100000639,645160,2066.52,2066.52,0.0,S
100000639,645160,5321.13,5321.13,0.0,S
100000639,645218,318.75,318.75,0.0,S
100000639,641310,1584.2,1584.2,0.0,S
100000639,641310,3117.91,3117.91,0.0,S
100000639,641310,7872.6,7872.6,0.0,S
100000639,645160,312.75,312.75,0.0,S
100000639,645160,2766.32,2766.32,0.0,S
100000639,431000,-110.77,0.0,110.77,H
100000639,641310,6837.1,6837.1,0.0,S
100000639,645160,434.38,434.38,0.0,S
100000640,645160,-110.77,0.0,110.77,H
100000640,431000,955.63,955.63,0.0,S
100000640,431000,110.77,110.77,0.0,S
100000640,431000,6894.35,6894.35,0.0,S
100000640,645160,-312.75,0.0,312.75,H
100000640,447300,18148.0,18148.0,0.0,S
100000640,641310,-7872.6,0.0,7872.6,H
100000640,645218,-900.0,0.0,900.0,H
100000640,645218,-1250.0,0.0,1250.0,H
100000640,645218,-600.0,0.0,600.0,H
100000640,641310,-3117.91,0.0,3117.91,H
100000640,645160,-3587.36,0.0,3587.36,H
100000640,645160,-2066.52,0.0,2066.52,H
100000640,641100,-7142.86,0.0,7142.86,H
100000640,641100,-15150.0,0.0,15150.0,H
100000640,641100,-9107.14,0.0,9107.14,H
100000640,641310,-6837.1,0.0,6837.1,H
100000640,645218,-318.75,0.0,318.75,H
100000640,641310,-1584.2,0.0,1584.2,H
100000640,431000,13741.33,13741.33,0.0,S
100000640,421000,45.56,45.56,0.0,S
100000640,641100,-8571.43,0.0,8571.43,H
100000640,645160,-5321.13,0.0,5321.13,H
