journal_entry_id,line_description,gl_account_number,debit_amount,credit_amount
1019,COMUNICACIONES (TELEFONO),6281000.0,2.697.15 ,
102,LA CAIXA 81270,5720700.0,,86.955.78 
102,HDA.P. RETENCION DIVIDENDOS,4751400.0,86.955.78 ,
1020,HDA.P.IVA SOPORTADO      ,4720000.0,2.27 ,
1020,SERV.PROFES.INDEPENDIENT.,6230000.0,10.79 ,
1020,REGISTRO MERCANTIL DE BARCELONA,4000206.0,,13.06 
1021,REGISTRO MERCANTIL DE BARCELONA,4000206.0,13.06 ,
1021,COLEGIO DE REGISTRADORES,4100188.0,,13.06 
1022,OTROS SERVICIOS          ,6290000.0,200.00 ,
1022,HDA.P.IVA SOPORTADO      ,4720000.0,42.00 ,
1022,HDA.P. RETENCION PROFESIONALES,4751300.0,,30.00 
1022,DE ROMAN PEREZ. SAMUEL,4000680.0,,212.00 
1023,HDA.P.IVA REPERCUTIDO    ,4770000.0,,4.20 
1023,ADOBE SYSTEMS SOFTWARE,4000117.0,,19.99 
1023,HDA.P.IVA SOPORTADO      ,4720000.0,4.20 ,
1023,OTROS SERVICIOS          ,6290000.0,19.99 ,
1024,HDA.P.IVA REPERCUTIDO    ,4770000.0,,4.20 
1024,OTROS SERVICIOS          ,6290000.0,19.99 ,
1024,HDA.P.IVA SOPORTADO      ,4720000.0,4.20 ,
1024,ADOBE SYSTEMS SOFTWARE,4000117.0,,19.99 
1025,MOMNOON ECOFF. S.L.,4000734.0,,480.26 
1025,HDA.P.IVA SOPORTADO      ,4720000.0,43.66 ,
1025,ALIMENTACIÓN,6291900.0,436.60 ,
1026,UBER. B.V. / AEROCITY. S.L.,4000703.0,,407.90 
1026,TRANSPORTES              ,6240000.0,375.22 ,
1026,HDA.P.IVA SOPORTADO      ,4720000.0,32.68 ,
1027,HDA.P.IVA SOPORTADO      ,4720000.0,73.74 ,
1027,COMIDAS EMPLEADOS,6292100.0,4.580.04 ,
1027,PORTIER EATS SPAIN. S.L.,4000647.0,,4.653.78 
1028,HDA.P.IVA SOPORTADO      ,4720000.0,36.37 ,
1028,ALIMENTACIÓN,6291900.0,363.72 ,
1028,MOMNOON ECOFF. S.L.,4000734.0,,400.09 
1029,STJ ADVISORS GROUP LIMITED,4100419.0,,12.500.00 
1029,HDA.P.IVA SOPORTADO      ,4720000.0,2.625.00 ,
1029,STJ ADVISORS GROUP LIMITED,6070419.0,12.500.00 ,
1029,HDA.P.IVA REPERCUTIDO    ,4770000.0,,2.625.00 
103,LA CAIXA 81270,5720700.0,,471.85 
103,MYTAXI IBERIA. S.L.,4000146.0,471.85 ,
1030,REFINITIV. S.L.,4100059.0,,53.963.58 
1030,HDA.P.IVA SOPORTADO      ,4720000.0,9.365.58 ,
1030,SUSCRIPCIONES,6296000.0,44.598.00 ,
1031,MUTUA MADRILEÑA AUTOMOVILISTA     ,4100041.0,,44.888.18 
1031,ARRENDAMIENTOS           ,6210000.0,37.097.67 ,
1031,HDA.P.IVA SOPORTADO      ,4720000.0,7.790.51 ,
1032,HDA.P.IVA SOPORTADO      ,4720000.0,1.872.73 ,
1032,SUMINISTROS Y GASTOS DE COMUNIDAD,6210001.0,8.917.77 ,
1032,MUTUA MADRILEÑA AUTOMOVILISTA     ,4100041.0,,10.790.50 
1033,JOSEL S.L.U.,4000187.0,,186.87 
1033,HDA.P.IVA SOPORTADO      ,4720000.0,32.43 ,
1033,ARRENDAMIENTOS           ,6210000.0,154.44 ,
1034,JOSEL S.L.U.,4000187.0,,186.87 
1034,HDA.P.IVA SOPORTADO      ,4720000.0,32.43 ,
1034,ARRENDAMIENTOS           ,6210000.0,154.44 ,
1035,JOSEL S.L.U.,4000187.0,,186.87 
1035,ARRENDAMIENTOS           ,6210000.0,154.44 ,
1035,HDA.P.IVA SOPORTADO      ,4720000.0,32.43 ,
1036,JOSEL S.L.U.,4000187.0,,121.00 
1036,HDA.P.IVA SOPORTADO      ,4720000.0,21.00 ,
1036,ARRENDAMIENTOS           ,6210000.0,100.00 ,
1037,JOSEL S.L.U.,4000187.0,,121.00 
1037,HDA.P.IVA SOPORTADO      ,4720000.0,21.00 ,
1037,ARRENDAMIENTOS           ,6210000.0,100.00 ,
1038,HDA.P.IVA SOPORTADO      ,4720000.0,21.00 ,
1038,JOSEL S.L.U.,4000187.0,,121.00 
1038,ARRENDAMIENTOS           ,6210000.0,100.00 ,
1039,AUARA EMPRESA SOCIAL,4000697.0,,96.00 
1039,ALIMENTACIÓN,6291900.0,87.27 ,
1039,HDA.P.IVA SOPORTADO      ,4720000.0,8.73 ,
104,LA CAIXA 81270,5720700.0,,7.457.32 
104,CXIOME ESPAÑA. S.A.,4000169.0,7.457.32 ,
1040,SERVICIOS INTEGRALES DE MANTENIMIENTO SIMALGA. S.L,4000651.0,,65.35 
1040,HDA.P.IVA SOPORTADO      ,4720000.0,11.34 ,
1040,OTROS SERVICIOS          ,6290000.0,54.01 ,
1041,PRIMAS DE SEGUROS        ,6250000.0,651.48 ,
1041,SEGURCAIXA ADESLAS. S.A. DE SEGUROS Y REASEGUROS,4000113.0,,651.48 
1042,RIESGOS LABORALES,6291800.0,69.53 ,
1042,MAS PREVENCION. SERVICIO DE PREVENCION. S.L.U.,4000798.0,,69.53 
1043,HDA.P.IVA SOPORTADO      ,4720000.0,37.11 ,
1043,ZARA HOME ESPAÑA. S.A.,4100164.0,,213.82 
1043,MATERIAL DE OFICINA      ,6292000.0,176.71 ,
1044,SERV.PROFES.INDEPENDIENT.,6230000.0,6.929.33 ,
1044,LLORENTE Y CUENCA MADRID. S.L.,4000521.0,,8.384.49 
1044,HDA.P.IVA SOPORTADO      ,4720000.0,1.455.16 ,
1045,CXIOME ESPAÑA. S.A.,4000169.0,,4.887.96 
1045,HDA.P.IVA SOPORTADO      ,4720000.0,848.32 ,
1045,MANTENIMIENTO SOFTWARE,6221000.0,4.039.64 ,
1046,MANTENIMIENTO SOFTWARE,6221000.0,20.80 ,
1046,CXIOME ESPAÑA. S.A.,4000169.0,,25.17 
1046,HDA.P.IVA SOPORTADO      ,4720000.0,4.37 ,
1047,HDA.P.IVA SOPORTADO      ,4720000.0,-1.375.53 ,
1047,MUTUA MADRILEÑA AUTOMOVILISTA     ,4100041.0,,-7.925.67 
1047,ARRENDAMIENTOS           ,6210000.0,-6.550.14 ,
1048,HDA.P.IVA SOPORTADO      ,4720000.0,200.77 ,
1048,SUMINISTROS ,6280000.0,956.03 ,
1048,ENDESA ENERGIA. S.A.,4000068.0,,1.156.80 
1049,REFINITIV. S.L.,4100059.0,,9.855.45 
1049,SUSCRIPCIONES,6296000.0,8.145.00 ,
1049,HDA.P.IVA SOPORTADO      ,4720000.0,1.710.45 ,
105,LA CAIXA 81270,5720700.0,,4.933.49 
105,VB GLOBAL GROUP. S.L.,4100402.0,4.933.49 ,
1052,FACTURAS PENDIENTES DE RECIBIR,4009000.0,2.555.50 ,
1052,HDA.P.IVA SOPORTADO      ,4720000.0,255.55 ,
1052,EL SARDINERO. S.A.,4000803.0,,2.811.05 
1053,FLAT 101. S.L.U.,6070804.0,1.200.00 ,
1053,FLAT 101. S.L.U.,4000804.0,,1.452.00 
1053,HDA.P.IVA SOPORTADO      ,4720000.0,252.00 ,
1054,HDA.P.IVA SOPORTADO      ,4720000.0,252.00 ,
1054,FLAT 101. S.L.U.,6070804.0,1.200.00 ,
1054,FLAT 101. S.L.U.,4000804.0,,1.452.00 
1055,HDA.P.IVA SOPORTADO      ,4720000.0,11.40 ,
1055,CULLIGAN WATER SPAIN. S.L.,4000417.0,,65.68 
1055,ALIMENTACIÓN,6291900.0,54.28 ,
1056,HDA.P.IVA REPERCUTIDO    ,4770000.0,,30.24 
1056,HDA.P.IVA SOPORTADO      ,4720000.0,30.24 ,
1056,OTROS SERVICIOS          ,6290000.0,144.00 ,
1056,USERCENTRICS A/S,4000805.0,,144.00 
1057,AMAZON EU SARL,4000570.0,,171.81 
1057,HDA.P.IVA SOPORTADO      ,4720000.0,36.08 ,
1057,MATERIAL DE OFICINA      ,6292000.0,171.81 ,
1057,HDA.P.IVA REPERCUTIDO    ,4770000.0,,36.08 
1058,AMAZON EU SARL,4000570.0,,5.78 
1058,HDA.P.IVA SOPORTADO      ,4720000.0,1.21 ,
1058,HDA.P.IVA REPERCUTIDO    ,4770000.0,,1.21 
1058,MATERIAL DE OFICINA      ,6292000.0,5.78 ,
1059,HDA.P.IVA SOPORTADO      ,4720000.0,16.99 ,
1059,CULLIGAN WATER SPAIN. S.L.,4000417.0,,97.89 
1059,ALIMENTACIÓN,6291900.0,80.90 ,
106,LA CAIXA 81270,5720700.0,,3.800.00 
106,HDA.P.RETENCIONES NO RESIDENTES,4751500.0,3.800.00 ,
1060,ARRENDAMIENTOS           ,6210000.0,50.98 ,
1060,HDA.P.IVA SOPORTADO      ,4720000.0,10.71 ,
1060,SIEMENS RENTING. S.A.,4000543.0,,61.69 
1061,SEMOLA RESTAURACION. S.L.,4100127.0,,1.093.00 
1061,HDA.P.IVA SOPORTADO      ,4720000.0,99.36 ,
1061,COMIDAS EMPLEADOS,6292100.0,993.64 ,
1062,HDA.P.IVA SOPORTADO      ,4720000.0,268.22 ,
1062,EQUIPOS PROCESOS INFORM. ,2170000.0,1.277.24 ,
1062,CXIOME ESPAÑA. S.A.,4000169.0,,1.545.46 
1063,HDA.P.IVA SOPORTADO      ,4720000.0,284.13 ,
1063,CXIOME ESPAÑA. S.A.,4000169.0,,1.637.13 
1063,MANTENIMIENTO SOFTWARE,6221000.0,1.353.00 ,
1064,HDA.P.IVA SOPORTADO      ,4720000.0,2.10 ,
1064,SUSCRIPCIONES,6296000.0,9.99 ,
1064,FREEPIK COMPANY. S.L.,4000665.0,,12.09 
1065,MATERIAL DE OFICINA      ,6292000.0,620.45 ,
1065,HDA.P.IVA SOPORTADO      ,4720000.0,130.29 ,
1065,BUNZL DISTRIBUTION SPAIN. S.A.,4000222.0,,750.74 
1066,HDA.P. RETENCION PROFESIONALES,4751300.0,,92.10 
1066,GABINETE JURIDICO MF Y CA Abogados,4100024.0,,650.84 
1066,SERV.PROFES.INDEPENDIENT.,6230000.0,614.00 ,
1066,HDA.P.IVA SOPORTADO      ,4720000.0,128.94 ,
1067,ENVIOS/MENSAJERIA,6291300.0,314.72 ,
1067,DHL EXPRESS MADRID SPAIN. S.L.,4000030.0,,314.72 
1068,HDA.P.IVA SOPORTADO      ,4720000.0,65.31 ,
1068,LLORENTE Y CUENCA MADRID. S.L.,4000521.0,,376.31 
1068,SERV.PROFES.INDEPENDIENT.,6230000.0,311.00 ,
1069,M&A INVESTMENT NETWORK. S.L.,4000710.0,,22.687.50 
1069,HDA.P.IVA SOPORTADO      ,4720000.0,3.937.50 ,
1069,SERV.PROFES.INDEPENDIENT.,6230000.0,18.750.00 ,
107,HDA. P.ACREED.RETENCIONES,4751000.0,1.097.466.38 ,
107,LA CAIXA 81270,5720700.0,,1.446.253.71 
107,HDA.P. RETENCION PROFESIONALES,4751300.0,348.787.33 ,
1070,SIMPLEFRUIT ESPAÑA. S.L.U.,4000520.0,,258.06 
1070,ALIMENTACIÓN,6291900.0,258.06 ,
1071,TRANSPORTES              ,6240000.0,137.17 ,
1071,HDA.P.IVA SOPORTADO      ,4720000.0,28.81 ,
1071,RAMS COURIER. S.L.,4000698.0,,165.98 
1072,PILLALOS TIAYDE. S.L.,4000619.0,,3.847.49 
1072,COMIDAS EMPLEADOS,6292100.0,3.497.72 ,
1072,HDA.P.IVA SOPORTADO      ,4720000.0,349.77 ,
1074,HDA.P.IVA REPERCUTIDO    ,4770000.0,,1.73 
1074,AMAZON EU SARL,4000570.0,,8.26 
1074,HDA.P.IVA SOPORTADO      ,4720000.0,1.73 ,
1074,MATERIAL DE OFICINA      ,6292000.0,8.26 ,
1075,HDA.P.IVA SOPORTADO      ,4720000.0,56.23 ,
1075,HDA.P.IVA REPERCUTIDO    ,4770000.0,,56.23 
1075,MATERIAL DE OFICINA      ,6292000.0,267.77 ,
1075,AMAZON EU SARL,4000570.0,,267.77 
1076,SHENZHENSHI-212,4000806.0,,14.86 
1076,HDA.P.IVA REPERCUTIDO    ,4770000.0,,3.12 
1076,HDA.P.IVA SOPORTADO      ,4720000.0,3.12 ,
1076,MATERIAL DE OFICINA      ,6292000.0,14.86 ,
1078,MATERIAL DE OFICINA      ,6292000.0,8.23 ,
1078,HDA.P.IVA REPERCUTIDO    ,4770000.0,,1.73 
1078,HDA.P.IVA SOPORTADO      ,4720000.0,1.73 ,
1078,SHENZHENSHI-374,4000808.0,,8.23 
1079,REPARACIONES Y CONSERVAC.,6220000.0,14.16 ,
1079,HDA.P.IVA REPERCUTIDO    ,4770000.0,,2.97 
1079,SHENZHENSHI-785,4000807.0,,14.16 
1079,HDA.P.IVA SOPORTADO      ,4720000.0,2.97 ,
108,LA CAIXA 81270,5720700.0,,18.15 
108,CAIXABANK. S.A.,4100435.0,18.15 ,
1080,PILLALOS TIAYDE. S.L.,4000619.0,,4.279.50 
1080,COMIDAS EMPLEADOS,6292100.0,3.890.45 ,
1080,HDA.P.IVA SOPORTADO      ,4720000.0,389.05 ,
1081,HDA.P.IVA SOPORTADO      ,4720000.0,5.343.76 ,
1081,CARLOS TELLEZ ISLA,4100018.0,,26.973.27 
1081,CARLOS TELLEZ,6070018.0,25.446.48 ,
1081,HDA.P. RETENCION PROFESIONALES,4751300.0,,3.816.97 
1082,ENRIQUE SALAMERO LAORDEN,4100364.0,,25.507.47 
1082,HDA.P. RETENCION PROFESIONALES,4751300.0,,3.609.55 
1082,HDA.P.IVA SOPORTADO      ,4720000.0,5.053.37 ,
1082,ENRIQUE SALAMERO LARODEN,6070364.0,24.063.65 ,
1083,ENRIQUE UGALDE REBOLLO,4100025.0,,26.973.27 
1083,ENRIQUE UGALDE REBOLLO,6070025.0,25.446.48 ,
1083,HDA.P.IVA SOPORTADO      ,4720000.0,5.343.76 ,
1083,HDA.P. RETENCION PROFESIONALES,4751300.0,,3.816.97 
1084,HDA.P. RETENCION PROFESIONALES,4751300.0,,3.816.97 
1084,FERNANDO SEBASTIAN,6070016.0,25.446.48 ,
1084,FERNANDO SEBASTIAN SANZ,4100016.0,,26.973.27 
1084,HDA.P.IVA SOPORTADO      ,4720000.0,5.343.76 ,
1085,FRANCISCO BOADA ROS,4100366.0,,25.507.47 
1085,HDA.P.IVA SOPORTADO      ,4720000.0,5.053.37 ,
1085,FRANCISCO BOADA ROS,6070366.0,24.063.65 ,
1085,HDA.P. RETENCION PROFESIONALES,4751300.0,,3.609.55 
1086,JAVIER JULIA CORUJO,6070365.0,24.063.65 ,
1086,HDA.P.IVA SOPORTADO      ,4720000.0,5.053.37 ,
1086,HDA.P. RETENCION PROFESIONALES,4751300.0,,3.609.55 
1086,JAVIER JULIA CORUJO,4100365.0,,25.507.47 
1087,HDA.P.IVA SOPORTADO      ,4720000.0,11.511.50 ,
1087,LUCAYA FORCADA. JORGE FRANCISCO,6070189.0,54.816.67 ,
1087,LUCAYA FORCADA. FRANCISCO JORGE,4100189.0,,58.105.67 
1087,HDA.P. RETENCION PROFESIONALES,4751300.0,,8.222.50 
1088,VICTOR MATA BATLLE,4100011.0,,26.973.27 
1088,HDA.P. RETENCION PROFESIONALES,4751300.0,,3.816.97 
1088,HDA.P.IVA SOPORTADO      ,4720000.0,5.343.76 ,
1088,VICTOR MATA,6070011.0,25.446.48 ,
1089,XAVIER ESCUDERO RAFAS,4100009.0,,26.973.27 
1089,XAVIER ESCUDERO,6070009.0,25.446.48 ,
1089,HDA.P.IVA SOPORTADO      ,4720000.0,5.343.76 ,
1089,HDA.P. RETENCION PROFESIONALES,4751300.0,,3.816.97 
109,OTROS SERVICIOS          ,6290000.0,0.01 ,
109,AMAZON BUSINESS EU. S.A.R.L.,4000630.0,23.96 ,
109,NO QUIERO TRABAJAR. S.L.,4000694.0,23.98 ,
109,LISHUISHILIJUNLAOWUFU,4000785.0,138.88 ,
109,LA CAIXA 81270,5720700.0,,891.38 
109,MAKRO AUTOSERVICIO MAYORISTA. S.A.,4000593.0,118.19 ,
109,AMAZON BUSINESS EU. S.A.R.L.,4000630.0,571.50 ,
109,SHENZHENSHI QIFENGKEJI,4000793.0,14.86 ,
1090,INMOBILIARIA COLONIAL. S.A.,4100186.0,,27.688.09 
1090,HDA.P.IVA SOPORTADO      ,4720000.0,4.805.37 ,
1090,ARRENDAMIENTOS           ,6210000.0,22.882.72 ,
1091,INMOBILIARIA COLONIAL. S.A.,4100186.0,,258.78 
1091,HDA.P.IVA SOPORTADO      ,4720000.0,44.91 ,
1091,SUMINISTROS Y GASTOS DE COMUNIDAD,6210001.0,213.87 ,
1093,EL TALLER DE LA LIMPIEZA. S.L.,4000072.0,,2.509.90 
1093,HDA.P.IVA SOPORTADO      ,4720000.0,435.60 ,
1093,LIMPIEZA,6291500.0,2.074.30 ,
1094,HDA.P.IVA SOPORTADO      ,4720000.0,0.46 ,
1094,SUSCRIPCIONES,6296000.0,11.44 ,
1094,LA VANGUARDIA,4000303.0,,11.90 
1095,COMIDAS EMPLEADOS,6292100.0,350.50 ,
1095,BRUSI CATERING,4100208.0,,385.55 
1095,HDA.P.IVA SOPORTADO      ,4720000.0,35.05 ,
1096,HDA.P.IVA SOPORTADO      ,4720000.0,261.25 ,
1096,BRUSI CATERING,4100208.0,,2.873.75 
1096,COMIDAS EMPLEADOS,6292100.0,2.612.50 ,
1097,METEOR TRANSPORT URGENT. S.L.,4000637.0,,90.17 
1097,HDA.P.IVA SOPORTADO      ,4720000.0,15.65 ,
1097,TRANSPORTES              ,6240000.0,74.52 ,
1098,HDA.P.IVA SOPORTADO      ,4720000.0,97.05 ,
1098,SUMINISTROS ,6280000.0,462.16 ,
1098,ENDESA ENERGIA. S.A.,4000068.0,,559.21 
1099,ENDESA ENERGIA. S.A.,4000068.0,,449.25 
1099,SUMINISTROS ,6280000.0,371.28 ,
1099,HDA.P.IVA SOPORTADO      ,4720000.0,77.97 ,
11,TELEFONICA DE ESPAÑA. S.A.U.,4000013.0,111.93 ,
11,LA CAIXA 81270,5720700.0,,111.93 
110,LA CAIXA 81270,5720700.0,,64.92 
110,SAFETY-DOC. S.L.,4000052.0,64.92 ,
1100,ACG BARCELONA,4000419.0,,810.00 
1100,SERV.PROFES.INDEPENDIENT.,6230000.0,810.00 ,
1103,HDA.P.IVA SOPORTADO      ,4720000.0,-438.91 ,
1103,HDA.P.IVA REPERCUTIDO    ,4770000.0,,-438.91 
1103,PODIUM DESIGNS,4000389.0,,-2.090.07 
1103,PUBLIC.PROPAG.RELAC.PUBL.,6270000.0,-2.090.07 ,
1104,VISAS,5200001.0,,1.941.83 
1104,MERCADONA. S.A.,4100121.0,1.941.83 ,
1105,ADOBE SYSTEMS SOFTWARE,4000117.0,19.99 ,
1105,VISAS,5200001.0,,19.99 
1106,VISAS,5200001.0,,19.99 
1106,ADOBE SYSTEMS SOFTWARE,4000117.0,19.99 ,
1107,VISAS,5200001.0,,96.00 
1107,AUARA EMPRESA SOCIAL,4000697.0,96.00 ,
1108,ZARA HOME ESPAÑA. S.A.,4100164.0,213.82 ,
1108,VISAS,5200001.0,,213.82 
1109,USERCENTRICS A/S,4000805.0,144.00 ,
1109,VISAS,5200001.0,,144.00 
111,SIEMENS RENTING. S.A.,4000543.0,61.69 ,
111,LA CAIXA 81270,5720700.0,,61.69 
1110,VISAS,5200001.0,,12.09 
1110,FREEPIK COMPANY. S.L.,4000665.0,12.09 ,
1111,LA VANGUARDIA,4000303.0,11.90 ,
1111,VISAS,5200001.0,,11.90 
1112,WINDAR CORPORATE. S.L.,4300394.0,30.250.00 ,
1112,HDA.P.IVA REPERCUTIDO    ,4770000.0,,5.250.00 
1112,WINDAR CORPORATE. S.L.,7050394.0,,25.000.00 
1113,VISAS,5200001.0,5.368.19 ,
1113,LA CAIXA 81270,5720700.0,,5.368.19 
1114,TELEFONICA DE ESPAÑA. S.A.U.,4000013.0,111.93 ,
1114,LA CAIXA 81270,5720700.0,,111.93 
1115,LA CAIXA 81270,5720700.0,,524.05 
1115,TELEFONICA DE ESPAÑA. S.A.U.,4000013.0,524.05 ,
1116,EL TALLER DE LA LIMPIEZA. S.L.,4000072.0,2.509.90 ,
1116,LA CAIXA 81270,5720700.0,,2.509.90 
1117,LA CAIXA 81270,5720700.0,,408.26 
1117,AMAZON BUSINESS EU. S.A.R.L.,4000630.0,408.26 ,
1118,LA CAIXA 81270,5720700.0,,694.13 
1118,LYRECO ESPAÑA..S.A.,4100111.0,694.13 ,
1119,SEIDOR CONSULTING,4000537.0,943.80 ,
1119,LA CAIXA 81270,5720700.0,,943.80 
112,LA CAIXA 81270,5720700.0,,24.893.86 
112,CARLOS TELLEZ ISLA,4100018.0,24.893.86 ,
1120,LA CAIXA 81270,5720700.0,,5.265.28 
1120,PRODWARE SPAIN,4000211.0,5.265.28 ,
1121,LA CAIXA 81270,5720700.0,10.027.92 ,
1121,OTROS INGRE.FINANC.(C.C.),7690000.0,,10.027.92 
1122,HDA.P.RETENC.Y PAGO A CTA,4730000.0,1.905.30 ,
1122,LA CAIXA 81270,5720700.0,,1.905.30 
1123,LA CAIXA 81270,5720700.0,,8.00 
1123,SERVICIOS BANCARIOS      ,6260000.0,8.00 ,
1124,TELEFONICA DE ESPAÑA. S.A.U.,4000013.0,3.148.89 ,
1124,LA CAIXA 81270,5720700.0,,3.148.89 
1125,TELEFONICA MOVILES ESPAÑA. S.A.,4000004.0,3.98 ,
1125,LA CAIXA 81270,5720700.0,,3.98 
1126,TELEFONICA MOVILES ESPAÑA. S.A.,4000004.0,536.29 ,
1126,LA CAIXA 81270,5720700.0,,536.29 
1127,JOSEL S.L.U.,4000187.0,121.00 ,
1127,LA CAIXA 81270,5720700.0,,121.00 
1128,LA CAIXA 81270,5720700.0,,121.00 
1128,JOSEL S.L.U.,4000187.0,121.00 ,
1129,LA CAIXA 81270,5720700.0,,121.00 
1129,JOSEL S.L.U.,4000187.0,121.00 ,
113,CARLOS TELLEZ ISLA,4100018.0,2.000.00 ,
113,LA CAIXA 81270,5720700.0,,2.000.00 
1130,LA CAIXA 81270,5720700.0,,186.87 
1130,JOSEL S.L.U.,4000187.0,186.87 ,
1131,LA CAIXA 81270,5720700.0,,186.87 
1131,JOSEL S.L.U.,4000187.0,186.87 ,
1132,LA CAIXA 81270,5720700.0,,186.87 
1132,JOSEL S.L.U.,4000187.0,186.87 ,
1133,BUNZL DISTRIBUTION SPAIN. S.A.,4000222.0,750.74 ,
1133,LA CAIXA 81270,5720700.0,,750.74 
1134,LA CAIXA 81270,5720700.0,,32.00 
1134,OTROS GASTOS SOCIALES    ,6490000.0,32.00 ,
1135,LA CAIXA 81270,5720700.0,,560.00 
1135,OTROS GASTOS SOCIALES    ,6490000.0,560.00 ,
1136,MULTIANAU. S.L.,4000220.0,3.706.47 ,
1136,LA CAIXA 81270,5720700.0,,3.706.47 
1137,CULLIGAN WATER SPAIN. S.L.,4000417.0,97.89 ,
1137,LA CAIXA 81270,5720700.0,,97.89 
1138,LA CAIXA 81270,5720700.0,,27.688.09 
1138,INMOBILIARIA COLONIAL. S.A.,4100186.0,27.688.09 ,
1139,MYTAXI IBERIA. S.L.,4000146.0,479.26 ,
