journal_entry_id,line_description,gl_account_number,amount,debit_amount,credit_amount
1007,MATERIAL DE OFICINA      ,6292000.0,729.07,729.07,0.0
1007,HDA.P.IVA SOPORTADO      ,4720000.0,130.44,130.44,0.0
1008,PRODWARE SPAIN,4000211.0,-5265.28,0.0,5265.28
1008,HDA.P.IVA SOPORTADO      ,4720000.0,913.81,913.81,0.0
1008,MANTENIMIENTO SOFTWARE,6221000.0,4351.47,4351.47,0.0
1009,SERV.PROFES.INDEPENDIENT.,6230000.0,10558.8,10558.8,0.0
1009,LA PERA INICIATIVAS EMPRESARIALES. S.L.,4000801.0,-12776.15,0.0,12776.15
1009,HDA.P.IVA SOPORTADO      ,4720000.0,2217.35,2217.35,0.0
101,OTROS GASTOS SOCIALES    ,6490000.0,400.0,400.0,0.0
101,LA CAIXA 81270,5720700.0,-400.0,0.0,400.0
1010,HDA.P.IVA SOPORTADO      ,4720000.0,535.18,535.18,0.0
1010,EQUIPOS PROCESOS INFORM. ,2170000.0,2548.48,2548.48,0.0
1010,CXIOME ESPAÑA. S.A.,4000169.0,-3083.66,0.0,3083.66
1011,TRANSPORTES              ,6240000.0,318.04,318.04,0.0
1011,CABIFY ESPAÑA. S.A.,4000217.0,-349.84,0.0,349.84
1011,HDA.P.IVA SOPORTADO      ,4720000.0,31.8,31.8,0.0
1012,HDA.P.IVA SOPORTADO      ,4720000.0,163.8,163.8,0.0
1012,MANTENIMIENTO SOFTWARE,6221000.0,780.0,780.0,0.0
1012,SEIDOR CONSULTING,4000537.0,-943.8,0.0,943.8
1013,SERV.PROFES.INDEPENDIENT.,6230000.0,2400.0,2400.0,0.0
1013,HDA.P.IVA SOPORTADO      ,4720000.0,504.0,504.0,0.0
1013,MARTINEZ FERRANDO Y ASOC.,4000003.0,-2904.0,0.0,2904.0
1014,HDA.P.IVA SOPORTADO      ,4720000.0,134.45,134.45,0.0
1014,RICOH ESPAÑA. S.L.,4000040.0,-774.67,0.0,774.67
1014,ARRENDAMIENTOS           ,6210000.0,640.22,640.22,0.0
1015,ARRENDAMIENTOS           ,6210000.0,466.72,466.72,0.0
1015,HDA.P.IVA SOPORTADO      ,4720000.0,98.01,98.01,0.0
1015,RICOH ESPAÑA. S.L.,4000040.0,-564.73,0.0,564.73
1016,TELEFONICA MOVILES ESPAÑA. S.A.,4000004.0,-580.43,0.0,580.43
1016,COMUNICACIONES (TELEFONO),6281000.0,479.69,479.69,0.0
1016,HDA.P.IVA SOPORTADO      ,4720000.0,100.74,100.74,0.0
1017,TELEFONICA DE ESPAÑA. S.A.U.,4000013.0,-524.05,0.0,524.05
1017,HDA.P.IVA SOPORTADO      ,4720000.0,90.95,90.95,0.0
1017,COMUNICACIONES (TELEFONO),6281000.0,433.1,433.1,0.0
1018,TELEFONICA DE ESPAÑA. S.A.U.,4000013.0,-111.93,0.0,111.93
1018,HDA.P.IVA SOPORTADO      ,4720000.0,19.43,19.43,0.0
1018,COMUNICACIONES (TELEFONO),6281000.0,92.5,92.5,0.0
1019,TELEFONICA DE ESPAÑA. S.A.U.,4000013.0,-3263.55,0.0,3263.55
1019,HDA.P.IVA SOPORTADO      ,4720000.0,566.4,566.4,0.0
1019,COMUNICACIONES (TELEFONO),6281000.0,2697.15,2697.15,0.0
102,LA CAIXA 81270,5720700.0,-86955.78,0.0,86955.78
102,HDA.P. RETENCION DIVIDENDOS,4751400.0,86955.78,86955.78,0.0
1020,HDA.P.IVA SOPORTADO      ,4720000.0,2.27,2.27,0.0
1020,SERV.PROFES.INDEPENDIENT.,6230000.0,10.79,10.79,0.0
1020,REGISTRO MERCANTIL DE BARCELONA,4000206.0,-13.06,0.0,13.06
1021,REGISTRO MERCANTIL DE BARCELONA,4000206.0,13.06,13.06,0.0
1021,COLEGIO DE REGISTRADORES,4100188.0,-13.06,0.0,13.06
1022,OTROS SERVICIOS          ,6290000.0,200.0,200.0,0.0
1022,HDA.P.IVA SOPORTADO      ,4720000.0,42.0,42.0,0.0
1022,HDA.P. RETENCION PROFESIONALES,4751300.0,-30.0,0.0,30.0
1022,DE ROMAN PEREZ. SAMUEL,4000680.0,-212.0,0.0,212.0
1023,HDA.P.IVA REPERCUTIDO    ,4770000.0,-4.2,0.0,4.2
1023,ADOBE SYSTEMS SOFTWARE,4000117.0,-19.99,0.0,19.99
1023,HDA.P.IVA SOPORTADO      ,4720000.0,4.2,4.2,0.0
1023,OTROS SERVICIOS          ,6290000.0,19.99,19.99,0.0
1024,HDA.P.IVA REPERCUTIDO    ,4770000.0,-4.2,0.0,4.2
1024,OTROS SERVICIOS          ,6290000.0,19.99,19.99,0.0
1024,HDA.P.IVA SOPORTADO      ,4720000.0,4.2,4.2,0.0
1024,ADOBE SYSTEMS SOFTWARE,4000117.0,-19.99,0.0,19.99
1025,MOMNOON ECOFF. S.L.,4000734.0,-480.26,0.0,480.26
1025,HDA.P.IVA SOPORTADO      ,4720000.0,43.66,43.66,0.0
1025,ALIMENTACIÓN,6291900.0,436.6,436.6,0.0
1026,UBER. B.V. / AEROCITY. S.L.,4000703.0,-407.9,0.0,407.9
1026,TRANSPORTES              ,6240000.0,375.22,375.22,0.0
1026,HDA.P.IVA SOPORTADO      ,4720000.0,32.68,32.68,0.0
1027,HDA.P.IVA SOPORTADO      ,4720000.0,73.74,73.74,0.0
1027,COMIDAS EMPLEADOS,6292100.0,4580.04,4580.04,0.0
1027,PORTIER EATS SPAIN. S.L.,4000647.0,-4653.78,0.0,4653.78
1028,HDA.P.IVA SOPORTADO      ,4720000.0,36.37,36.37,0.0
1028,ALIMENTACIÓN,6291900.0,363.72,363.72,0.0
1028,MOMNOON ECOFF. S.L.,4000734.0,-400.09,0.0,400.09
1029,STJ ADVISORS GROUP LIMITED,4100419.0,-12500.0,0.0,12500.0
1029,HDA.P.IVA SOPORTADO      ,4720000.0,2625.0,2625.0,0.0
1029,STJ ADVISORS GROUP LIMITED,6070419.0,12500.0,12500.0,0.0
1029,HDA.P.IVA REPERCUTIDO    ,4770000.0,-2625.0,0.0,2625.0
103,LA CAIXA 81270,5720700.0,-471.85,0.0,471.85
103,MYTAXI IBERIA. S.L.,4000146.0,471.85,471.85,0.0
1030,REFINITIV. S.L.,4100059.0,-53963.58,0.0,53963.58
1030,HDA.P.IVA SOPORTADO      ,4720000.0,9365.58,9365.58,0.0
1030,SUSCRIPCIONES,6296000.0,44598.0,44598.0,0.0
1031,MUTUA MADRILEÑA AUTOMOVILISTA     ,4100041.0,-44888.18,0.0,44888.18
1031,ARRENDAMIENTOS           ,6210000.0,37097.67,37097.67,0.0
1031,HDA.P.IVA SOPORTADO      ,4720000.0,7790.51,7790.51,0.0
1032,HDA.P.IVA SOPORTADO      ,4720000.0,1872.73,1872.73,0.0
1032,SUMINISTROS Y GASTOS DE COMUNIDAD,6210001.0,8917.77,8917.77,0.0
1032,MUTUA MADRILEÑA AUTOMOVILISTA     ,4100041.0,-10790.5,0.0,10790.5
1033,JOSEL S.L.U.,4000187.0,-186.87,0.0,186.87
1033,HDA.P.IVA SOPORTADO      ,4720000.0,32.43,32.43,0.0
1033,ARRENDAMIENTOS           ,6210000.0,154.44,154.44,0.0
1034,JOSEL S.L.U.,4000187.0,-186.87,0.0,186.87
1034,HDA.P.IVA SOPORTADO      ,4720000.0,32.43,32.43,0.0
1034,ARRENDAMIENTOS           ,6210000.0,154.44,154.44,0.0
1035,JOSEL S.L.U.,4000187.0,-186.87,0.0,186.87
1035,ARRENDAMIENTOS           ,6210000.0,154.44,154.44,0.0
1035,HDA.P.IVA SOPORTADO      ,4720000.0,32.43,32.43,0.0
1036,JOSEL S.L.U.,4000187.0,-121.0,0.0,121.0
1036,HDA.P.IVA SOPORTADO      ,4720000.0,21.0,21.0,0.0
1036,ARRENDAMIENTOS           ,6210000.0,100.0,100.0,0.0
1037,JOSEL S.L.U.,4000187.0,-121.0,0.0,121.0
1037,HDA.P.IVA SOPORTADO      ,4720000.0,21.0,21.0,0.0
1037,ARRENDAMIENTOS           ,6210000.0,100.0,100.0,0.0
1038,HDA.P.IVA SOPORTADO      ,4720000.0,21.0,21.0,0.0
1038,JOSEL S.L.U.,4000187.0,-121.0,0.0,121.0
1038,ARRENDAMIENTOS           ,6210000.0,100.0,100.0,0.0
1039,AUARA EMPRESA SOCIAL,4000697.0,-96.0,0.0,96.0
1039,ALIMENTACIÓN,6291900.0,87.27,87.27,0.0
1039,HDA.P.IVA SOPORTADO      ,4720000.0,8.73,8.73,0.0
104,LA CAIXA 81270,5720700.0,-7457.32,0.0,7457.32
104,CXIOME ESPAÑA. S.A.,4000169.0,7457.32,7457.32,0.0
1040,SERVICIOS INTEGRALES DE MANTENIMIENTO SIMALGA. S.L,4000651.0,-65.35,0.0,65.35
1040,HDA.P.IVA SOPORTADO      ,4720000.0,11.34,11.34,0.0
1040,OTROS SERVICIOS          ,6290000.0,54.01,54.01,0.0
1041,PRIMAS DE SEGUROS        ,6250000.0,651.48,651.48,0.0
1041,SEGURCAIXA ADESLAS. S.A. DE SEGUROS Y REASEGUROS,4000113.0,-651.48,0.0,651.48
1042,RIESGOS LABORALES,6291800.0,69.53,69.53,0.0
1042,MAS PREVENCION. SERVICIO DE PREVENCION. S.L.U.,4000798.0,-69.53,0.0,69.53
1043,HDA.P.IVA SOPORTADO      ,4720000.0,37.11,37.11,0.0
1043,ZARA HOME ESPAÑA. S.A.,4100164.0,-213.82,0.0,213.82
1043,MATERIAL DE OFICINA      ,6292000.0,176.71,176.71,0.0
1044,SERV.PROFES.INDEPENDIENT.,6230000.0,6929.33,6929.33,0.0
1044,LLORENTE Y CUENCA MADRID. S.L.,4000521.0,-8384.49,0.0,8384.49
1044,HDA.P.IVA SOPORTADO      ,4720000.0,1455.16,1455.16,0.0
1045,CXIOME ESPAÑA. S.A.,4000169.0,-4887.96,0.0,4887.96
1045,HDA.P.IVA SOPORTADO      ,4720000.0,848.32,848.32,0.0
1045,MANTENIMIENTO SOFTWARE,6221000.0,4039.64,4039.64,0.0
1046,MANTENIMIENTO SOFTWARE,6221000.0,20.8,20.8,0.0
1046,CXIOME ESPAÑA. S.A.,4000169.0,-25.17,0.0,25.17
1046,HDA.P.IVA SOPORTADO      ,4720000.0,4.37,4.37,0.0
1047,HDA.P.IVA SOPORTADO      ,4720000.0,-1375.53,-1375.53,0.0
1047,MUTUA MADRILEÑA AUTOMOVILISTA     ,4100041.0,-7925.67,0.0,7925.67
1047,ARRENDAMIENTOS           ,6210000.0,-6550.14,-6550.14,0.0
1048,HDA.P.IVA SOPORTADO      ,4720000.0,200.77,200.77,0.0
1048,SUMINISTROS ,6280000.0,956.03,956.03,0.0
1048,ENDESA ENERGIA. S.A.,4000068.0,-1156.8,0.0,1156.8
1049,REFINITIV. S.L.,4100059.0,-9855.45,0.0,9855.45
1049,SUSCRIPCIONES,6296000.0,8145.0,8145.0,0.0
1049,HDA.P.IVA SOPORTADO      ,4720000.0,1710.45,1710.45,0.0
105,LA CAIXA 81270,5720700.0,-4933.49,0.0,4933.49
105,VB GLOBAL GROUP. S.L.,4100402.0,4933.49,4933.49,0.0
1052,FACTURAS PENDIENTES DE RECIBIR,4009000.0,2555.5,2555.5,0.0
1052,HDA.P.IVA SOPORTADO      ,4720000.0,255.55,255.55,0.0
1052,EL SARDINERO. S.A.,4000803.0,-2811.05,0.0,2811.05
1053,FLAT 101. S.L.U.,6070804.0,1200.0,1200.0,0.0
1053,FLAT 101. S.L.U.,4000804.0,-1452.0,0.0,1452.0
1053,HDA.P.IVA SOPORTADO      ,4720000.0,252.0,252.0,0.0
1054,HDA.P.IVA SOPORTADO      ,4720000.0,252.0,252.0,0.0
1054,FLAT 101. S.L.U.,6070804.0,1200.0,1200.0,0.0
1054,FLAT 101. S.L.U.,4000804.0,-1452.0,0.0,1452.0
1055,HDA.P.IVA SOPORTADO      ,4720000.0,11.4,11.4,0.0
1055,CULLIGAN WATER SPAIN. S.L.,4000417.0,-65.68,0.0,65.68
1055,ALIMENTACIÓN,6291900.0,54.28,54.28,0.0
1056,HDA.P.IVA REPERCUTIDO    ,4770000.0,-30.24,0.0,30.24
1056,HDA.P.IVA SOPORTADO      ,4720000.0,30.24,30.24,0.0
1056,OTROS SERVICIOS          ,6290000.0,144.0,144.0,0.0
1056,USERCENTRICS A/S,4000805.0,-144.0,0.0,144.0
1057,AMAZON EU SARL,4000570.0,-171.81,0.0,171.81
1057,HDA.P.IVA SOPORTADO      ,4720000.0,36.08,36.08,0.0
1057,MATERIAL DE OFICINA      ,6292000.0,171.81,171.81,0.0
1057,HDA.P.IVA REPERCUTIDO    ,4770000.0,-36.08,0.0,36.08
1058,AMAZON EU SARL,4000570.0,-5.78,0.0,5.78
1058,HDA.P.IVA SOPORTADO      ,4720000.0,1.21,1.21,0.0
1058,HDA.P.IVA REPERCUTIDO    ,4770000.0,-1.21,0.0,1.21
1058,MATERIAL DE OFICINA      ,6292000.0,5.78,5.78,0.0
1059,HDA.P.IVA SOPORTADO      ,4720000.0,16.99,16.99,0.0
1059,CULLIGAN WATER SPAIN. S.L.,4000417.0,-97.89,0.0,97.89
1059,ALIMENTACIÓN,6291900.0,80.9,80.9,0.0
106,LA CAIXA 81270,5720700.0,-3800.0,0.0,3800.0
106,HDA.P.RETENCIONES NO RESIDENTES,4751500.0,3800.0,3800.0,0.0
1060,ARRENDAMIENTOS           ,6210000.0,50.98,50.98,0.0
1060,HDA.P.IVA SOPORTADO      ,4720000.0,10.71,10.71,0.0
1060,SIEMENS RENTING. S.A.,4000543.0,-61.69,0.0,61.69
1061,SEMOLA RESTAURACION. S.L.,4100127.0,-1093.0,0.0,1093.0
1061,HDA.P.IVA SOPORTADO      ,4720000.0,99.36,99.36,0.0
1061,COMIDAS EMPLEADOS,6292100.0,993.64,993.64,0.0
1062,HDA.P.IVA SOPORTADO      ,4720000.0,268.22,268.22,0.0
1062,EQUIPOS PROCESOS INFORM. ,2170000.0,1277.24,1277.24,0.0
1062,CXIOME ESPAÑA. S.A.,4000169.0,-1545.46,0.0,1545.46
1063,HDA.P.IVA SOPORTADO      ,4720000.0,284.13,284.13,0.0
1063,CXIOME ESPAÑA. S.A.,4000169.0,-1637.13,0.0,1637.13
1063,MANTENIMIENTO SOFTWARE,6221000.0,1353.0,1353.0,0.0
1064,HDA.P.IVA SOPORTADO      ,4720000.0,2.1,2.1,0.0
1064,SUSCRIPCIONES,6296000.0,9.99,9.99,0.0
1064,FREEPIK COMPANY. S.L.,4000665.0,-12.09,0.0,12.09
1065,MATERIAL DE OFICINA      ,6292000.0,620.45,620.45,0.0
1065,HDA.P.IVA SOPORTADO      ,4720000.0,130.29,130.29,0.0
1065,BUNZL DISTRIBUTION SPAIN. S.A.,4000222.0,-750.74,0.0,750.74
1066,HDA.P. RETENCION PROFESIONALES,4751300.0,-92.1,0.0,92.1
1066,GABINETE JURIDICO MF Y CA Abogados,4100024.0,-650.84,0.0,650.84
1066,SERV.PROFES.INDEPENDIENT.,6230000.0,614.0,614.0,0.0
1066,HDA.P.IVA SOPORTADO      ,4720000.0,128.94,128.94,0.0
1067,ENVIOS/MENSAJERIA,6291300.0,314.72,314.72,0.0
1067,DHL EXPRESS MADRID SPAIN. S.L.,4000030.0,-314.72,0.0,314.72
1068,HDA.P.IVA SOPORTADO      ,4720000.0,65.31,65.31,0.0
1068,LLORENTE Y CUENCA MADRID. S.L.,4000521.0,-376.31,0.0,376.31
1068,SERV.PROFES.INDEPENDIENT.,6230000.0,311.0,311.0,0.0
1069,M&A INVESTMENT NETWORK. S.L.,4000710.0,-22687.5,0.0,22687.5
1069,HDA.P.IVA SOPORTADO      ,4720000.0,3937.5,3937.5,0.0
1069,SERV.PROFES.INDEPENDIENT.,6230000.0,18750.0,18750.0,0.0
107,HDA. P.ACREED.RETENCIONES,4751000.0,1097466.38,1097466.38,0.0
107,LA CAIXA 81270,5720700.0,-1446253.71,0.0,1446253.71
107,HDA.P. RETENCION PROFESIONALES,4751300.0,348787.33,348787.33,0.0
1070,SIMPLEFRUIT ESPAÑA. S.L.U.,4000520.0,-258.06,0.0,258.06
1070,ALIMENTACIÓN,6291900.0,258.06,258.06,0.0
1071,TRANSPORTES              ,6240000.0,137.17,137.17,0.0
1071,HDA.P.IVA SOPORTADO      ,4720000.0,28.81,28.81,0.0
1071,RAMS COURIER. S.L.,4000698.0,-165.98,0.0,165.98
1072,PILLALOS TIAYDE. S.L.,4000619.0,-3847.49,0.0,3847.49
1072,COMIDAS EMPLEADOS,6292100.0,3497.72,3497.72,0.0
1072,HDA.P.IVA SOPORTADO      ,4720000.0,349.77,349.77,0.0
1074,HDA.P.IVA REPERCUTIDO    ,4770000.0,-1.73,0.0,1.73
1074,AMAZON EU SARL,4000570.0,-8.26,0.0,8.26
1074,HDA.P.IVA SOPORTADO      ,4720000.0,1.73,1.73,0.0
1074,MATERIAL DE OFICINA      ,6292000.0,8.26,8.26,0.0
1075,HDA.P.IVA SOPORTADO      ,4720000.0,56.23,56.23,0.0
1075,HDA.P.IVA REPERCUTIDO    ,4770000.0,-56.23,0.0,56.23
1075,MATERIAL DE OFICINA      ,6292000.0,267.77,267.77,0.0
1075,AMAZON EU SARL,4000570.0,-267.77,0.0,267.77
1076,SHENZHENSHI-212,4000806.0,-14.86,0.0,14.86
1076,HDA.P.IVA REPERCUTIDO    ,4770000.0,-3.12,0.0,3.12
1076,HDA.P.IVA SOPORTADO      ,4720000.0,3.12,3.12,0.0
1076,MATERIAL DE OFICINA      ,6292000.0,14.86,14.86,0.0
1078,MATERIAL DE OFICINA      ,6292000.0,8.23,8.23,0.0
1078,HDA.P.IVA REPERCUTIDO    ,4770000.0,-1.73,0.0,1.73
1078,HDA.P.IVA SOPORTADO      ,4720000.0,1.73,1.73,0.0
1078,SHENZHENSHI-374,4000808.0,-8.23,0.0,8.23
1079,REPARACIONES Y CONSERVAC.,6220000.0,14.16,14.16,0.0
1079,HDA.P.IVA REPERCUTIDO    ,4770000.0,-2.97,0.0,2.97
1079,SHENZHENSHI-785,4000807.0,-14.16,0.0,14.16
1079,HDA.P.IVA SOPORTADO      ,4720000.0,2.97,2.97,0.0
108,LA CAIXA 81270,5720700.0,-18.15,0.0,18.15
108,CAIXABANK. S.A.,4100435.0,18.15,18.15,0.0
1080,PILLALOS TIAYDE. S.L.,4000619.0,-4279.5,0.0,4279.5
1080,COMIDAS EMPLEADOS,6292100.0,3890.45,3890.45,0.0
1080,HDA.P.IVA SOPORTADO      ,4720000.0,389.05,389.05,0.0
1081,HDA.P.IVA SOPORTADO      ,4720000.0,5343.76,5343.76,0.0
1081,CARLOS TELLEZ ISLA,4100018.0,-26973.27,0.0,26973.27
1081,CARLOS TELLEZ,6070018.0,25446.48,25446.48,0.0
1081,HDA.P. RETENCION PROFESIONALES,4751300.0,-3816.97,0.0,3816.97
1082,ENRIQUE SALAMERO LAORDEN,4100364.0,-25507.47,0.0,25507.47
1082,HDA.P. RETENCION PROFESIONALES,4751300.0,-3609.55,0.0,3609.55
1082,HDA.P.IVA SOPORTADO      ,4720000.0,5053.37,5053.37,0.0
1082,ENRIQUE SALAMERO LARODEN,6070364.0,24063.65,24063.65,0.0
1083,ENRIQUE UGALDE REBOLLO,4100025.0,-26973.27,0.0,26973.27
1083,ENRIQUE UGALDE REBOLLO,6070025.0,25446.48,25446.48,0.0
1083,HDA.P.IVA SOPORTADO      ,4720000.0,5343.76,5343.76,0.0
1083,HDA.P. RETENCION PROFESIONALES,4751300.0,-3816.97,0.0,3816.97
1084,HDA.P. RETENCION PROFESIONALES,4751300.0,-3816.97,0.0,3816.97
1084,FERNANDO SEBASTIAN,6070016.0,25446.48,25446.48,0.0
1084,FERNANDO SEBASTIAN SANZ,4100016.0,-26973.27,0.0,26973.27
1084,HDA.P.IVA SOPORTADO      ,4720000.0,5343.76,5343.76,0.0
1085,FRANCISCO BOADA ROS,4100366.0,-25507.47,0.0,25507.47
1085,HDA.P.IVA SOPORTADO      ,4720000.0,5053.37,5053.37,0.0
1085,FRANCISCO BOADA ROS,6070366.0,24063.65,24063.65,0.0
1085,HDA.P. RETENCION PROFESIONALES,4751300.0,-3609.55,0.0,3609.55
1086,JAVIER JULIA CORUJO,6070365.0,24063.65,24063.65,0.0
1086,HDA.P.IVA SOPORTADO      ,4720000.0,5053.37,5053.37,0.0
1086,HDA.P. RETENCION PROFESIONALES,4751300.0,-3609.55,0.0,3609.55
1086,JAVIER JULIA CORUJO,4100365.0,-25507.47,0.0,25507.47
1087,HDA.P.IVA SOPORTADO      ,4720000.0,11511.5,11511.5,0.0
1087,LUCAYA FORCADA. JORGE FRANCISCO,6070189.0,54816.67,54816.67,0.0
1087,LUCAYA FORCADA. FRANCISCO JORGE,4100189.0,-58105.67,0.0,58105.67
1087,HDA.P. RETENCION PROFESIONALES,4751300.0,-8222.5,0.0,8222.5
1088,VICTOR MATA BATLLE,4100011.0,-26973.27,0.0,26973.27
1088,HDA.P. RETENCION PROFESIONALES,4751300.0,-3816.97,0.0,3816.97
1088,HDA.P.IVA SOPORTADO      ,4720000.0,5343.76,5343.76,0.0
1088,VICTOR MATA,6070011.0,25446.48,25446.48,0.0
1089,XAVIER ESCUDERO RAFAS,4100009.0,-26973.27,0.0,26973.27
1089,XAVIER ESCUDERO,6070009.0,25446.48,25446.48,0.0
1089,HDA.P.IVA SOPORTADO      ,4720000.0,5343.76,5343.76,0.0
1089,HDA.P. RETENCION PROFESIONALES,4751300.0,-3816.97,0.0,3816.97
109,OTROS SERVICIOS          ,6290000.0,0.01,0.01,0.0
109,AMAZON BUSINESS EU. S.A.R.L.,4000630.0,23.96,23.96,0.0
109,NO QUIERO TRABAJAR. S.L.,4000694.0,23.98,23.98,0.0
109,LISHUISHILIJUNLAOWUFU,4000785.0,138.88,138.88,0.0
109,LA CAIXA 81270,5720700.0,-891.38,0.0,891.38
109,MAKRO AUTOSERVICIO MAYORISTA. S.A.,4000593.0,118.19,118.19,0.0
109,AMAZON BUSINESS EU. S.A.R.L.,4000630.0,571.5,571.5,0.0
109,SHENZHENSHI QIFENGKEJI,4000793.0,14.86,14.86,0.0
1090,INMOBILIARIA COLONIAL. S.A.,4100186.0,-27688.09,0.0,27688.09
1090,HDA.P.IVA SOPORTADO      ,4720000.0,4805.37,4805.37,0.0
1090,ARRENDAMIENTOS           ,6210000.0,22882.72,22882.72,0.0
1091,INMOBILIARIA COLONIAL. S.A.,4100186.0,-258.78,0.0,258.78
1091,HDA.P.IVA SOPORTADO      ,4720000.0,44.91,44.91,0.0
1091,SUMINISTROS Y GASTOS DE COMUNIDAD,6210001.0,213.87,213.87,0.0
1093,EL TALLER DE LA LIMPIEZA. S.L.,4000072.0,-2509.9,0.0,2509.9
1093,HDA.P.IVA SOPORTADO      ,4720000.0,435.6,435.6,0.0
1093,LIMPIEZA,6291500.0,2074.3,2074.3,0.0
1094,HDA.P.IVA SOPORTADO      ,4720000.0,0.46,0.46,0.0
1094,SUSCRIPCIONES,6296000.0,11.44,11.44,0.0
1094,LA VANGUARDIA,4000303.0,-11.9,0.0,11.9
1095,COMIDAS EMPLEADOS,6292100.0,350.5,350.5,0.0
1095,BRUSI CATERING,4100208.0,-385.55,0.0,385.55
1095,HDA.P.IVA SOPORTADO      ,4720000.0,35.05,35.05,0.0
1096,HDA.P.IVA SOPORTADO      ,4720000.0,261.25,261.25,0.0
1096,BRUSI CATERING,4100208.0,-2873.75,0.0,2873.75
1096,COMIDAS EMPLEADOS,6292100.0,2612.5,2612.5,0.0
1097,METEOR TRANSPORT URGENT. S.L.,4000637.0,-90.17,0.0,90.17
1097,HDA.P.IVA SOPORTADO      ,4720000.0,15.65,15.65,0.0
1097,TRANSPORTES              ,6240000.0,74.52,74.52,0.0
1098,HDA.P.IVA SOPORTADO      ,4720000.0,97.05,97.05,0.0
1098,SUMINISTROS ,6280000.0,462.16,462.16,0.0
1098,ENDESA ENERGIA. S.A.,4000068.0,-559.21,0.0,559.21
1099,ENDESA ENERGIA. S.A.,4000068.0,-449.25,0.0,449.25
1099,SUMINISTROS ,6280000.0,371.28,371.28,0.0
1099,HDA.P.IVA SOPORTADO      ,4720000.0,77.97,77.97,0.0
11,TELEFONICA DE ESPAÑA. S.A.U.,4000013.0,111.93,111.93,0.0
11,LA CAIXA 81270,5720700.0,-111.93,0.0,111.93
110,LA CAIXA 81270,5720700.0,-64.92,0.0,64.92
110,SAFETY-DOC. S.L.,4000052.0,64.92,64.92,0.0
1100,ACG BARCELONA,4000419.0,-810.0,0.0,810.0
1100,SERV.PROFES.INDEPENDIENT.,6230000.0,810.0,810.0,0.0
1103,HDA.P.IVA SOPORTADO      ,4720000.0,-438.91,-438.91,0.0
1103,HDA.P.IVA REPERCUTIDO    ,4770000.0,-438.91,0.0,438.91
1103,PODIUM DESIGNS,4000389.0,-2090.07,0.0,2090.07
1103,PUBLIC.PROPAG.RELAC.PUBL.,6270000.0,-2090.07,-2090.07,0.0
1104,VISAS,5200001.0,-1941.83,0.0,1941.83
1104,MERCADONA. S.A.,4100121.0,1941.83,1941.83,0.0
1105,ADOBE SYSTEMS SOFTWARE,4000117.0,19.99,19.99,0.0
1105,VISAS,5200001.0,-19.99,0.0,19.99
1106,VISAS,5200001.0,-19.99,0.0,19.99
1106,ADOBE SYSTEMS SOFTWARE,4000117.0,19.99,19.99,0.0
1107,VISAS,5200001.0,-96.0,0.0,96.0
1107,AUARA EMPRESA SOCIAL,4000697.0,96.0,96.0,0.0
1108,ZARA HOME ESPAÑA. S.A.,4100164.0,213.82,213.82,0.0
1108,VISAS,5200001.0,-213.82,0.0,213.82
