Soc.,Cta.alt.,N� doc.,Ce.coste,A�o,Period,Clase doc.,Lib.mayor,D/H,Cliente,CT,BP,VP,Doc.comp.,Importe ML,Mon.,Importe,Importe,Mon.,Importe ML,Mon.,Mon.,FechaEntr,Cantidad,UMB,Nombre del usuario
0B62,400000,100000765,,2024,7,AB,408101,S,,40,,,100000765,29.00,EUR,29.00,29.00,EUR,29.00,EUR,EUR,29/07/2024,0.000,,W191062
0B62,400000,100000765,,2024,7,AB,408101,S,,40,,,100000765,11.920.00,EUR,11.920.00,11.920.00,EUR,11.920.00,EUR,EUR,29/07/2024,0.000,,W191062
0B62,400000,100000765,,2024,7,AB,408101,S,,40,,,100000765,2.802.16,EUR,2.802.16,2.802.16,EUR,2.802.16,EUR,EUR,29/07/2024,0.000,,W191062
0B62,400000,100000792,,2024,8,AB,408101,S,,40,,,100000792,659.97,EUR,659.97,659.97,EUR,659.97,EUR,EUR,09/08/2024,0.000,,W191062
0B62,400000,100000830,,2024,8,SA,408101,H,,50,,,100000855,-2.633.13,EUR,-2.633.13,2.633.13,EUR,2.633.13,EUR,EUR,27/08/2024,0.000,,W191062
0B62,400000,100000855,,2024,9,AB,408101,S,,40,,,100000855,2.633.13,EUR,2.633.13,2.633.13,EUR,2.633.13,EUR,EUR,10/09/2024,0.000,,W191062
0B62,400000,100000876,,2024,9,SA,408101,H,,50,,,100000907,-3.703.28,EUR,-3.703.28,3.703.28,EUR,3.703.28,EUR,EUR,25/09/2024,0.000,,W191062
0B62,400000,100000907,,2024,10,AB,408101,S,,40,,,100000907,3.703.28,EUR,3.703.28,3.703.28,EUR,3.703.28,EUR,EUR,10/10/2024,0.000,,W191062
0B62,400000,100000958,,2024,10,SA,408101,H,,50,,,100001031,-443.19,EUR,-443.19,443.19,EUR,443.19,EUR,EUR,29/10/2024,0.000,,W191062
0B62,400000,100001031,,2024,11,AB,408101,S,,40,,,100001031,443.19,EUR,443.19,443.19,EUR,443.19,EUR,EUR,11/11/2024,0.000,,W191062
0B62,400000,100001073,,2024,11,SA,408101,H,,50,,,100001095,-3.524.33,EUR,-3.524.33,3.524.33,EUR,3.524.33,EUR,EUR,26/11/2024,0.000,,W191062
0B62,400000,100001095,,2024,12,AB,408101,S,,40,,,100001095,3.524.33,EUR,3.524.33,3.524.33,EUR,3.524.33,EUR,EUR,10/12/2024,0.000,,W191062
0B62,400000,100001132,,2024,12,SA,408101,H,,50,,,,-2.571.24,EUR,-2.571.24,2.571.24,EUR,2.571.24,EUR,EUR,26/12/2024,0.000,,W191062
0B62,400000,1200000008,,2024,1,SB,408101,S,,40,,,100000447,1.176.22,EUR,1.176.22,1.176.22,EUR,1.176.22,EUR,EUR,31/01/2024,0.000,,W128794
0B62,400000,1200000009,,2024,2,SB,408101,H,,50,,,100000496,-2.236.20,EUR,-2.236.20,2.236.20,EUR,2.236.20,EUR,EUR,27/02/2024,0.000,,W128794
0B62,400000,1200000010,,2024,3,SB,408101,H,,50,,,100000535,-151.934.40,EUR,-151.934.40,151.934.40,EUR,151.934.40,EUR,EUR,26/03/2024,0.000,,W128794
0B62,400000,1200000011,,2024,3,SB,408101,H,,50,,,100000570,-3.324.06,EUR,-3.324.06,3.324.06,EUR,3.324.06,EUR,EUR,27/03/2024,0.000,,W128794
0B62,400000,1200000012,,2024,4,SB,408101,S,,40,,,100000629,15.03,EUR,15.03,15.03,EUR,15.03,EUR,EUR,25/04/2024,0.000,,W128794
0B62,400000,1200000013,,2024,5,SB,408101,H,,50,,,100000692,-3.237.52,EUR,-3.237.52,3.237.52,EUR,3.237.52,EUR,EUR,28/05/2024,0.000,,W191062
0B62,400000,1200000014,,2024,6,SB,408101,H,,50,,,100000734,-99.878.00,EUR,-99.878.00,99.878.00,EUR,99.878.00,EUR,EUR,26/06/2024,0.000,,W191062
0B62,400000,1200000015,,2024,6,SB,408101,S,,40,,,100000750,97.812.41,EUR,97.812.41,97.812.41,EUR,97.812.41,EUR,EUR,26/06/2024,0.000,,W191062
0B62,400000,1200000016,,2024,7,SB,408101,H,,50,,,100000792,-659.97,EUR,-659.97,659.97,EUR,659.97,EUR,EUR,27/07/2024,0.000,,W191062
0B62,400000,2500000241,,2024,6,CO,408101,H,,50,,,2500000242,-794.00,EUR,-794.00,794.00,EUR,794.00,EUR,EUR,25/06/2024,0.000,,W191062
0B62,400000,2500000241,,2024,6,CO,408101,H,,50,,,2500000242,-18.639.83,EUR,-18.639.83,18.639.83,EUR,18.639.83,EUR,EUR,25/06/2024,0.000,,W191062
0B62,400000,2500000241,,2024,6,CO,408101,S,,40,,,2500000242,1.266.46,EUR,1.266.46,1.266.46,EUR,1.266.46,EUR,EUR,25/06/2024,0.000,,W191062
0B62,400000,2500000241,,2024,6,CO,408101,H,,50,,,2500000242,-1.700.00,EUR,-1.700.00,1.700.00,EUR,1.700.00,EUR,EUR,25/06/2024,0.000,,W191062
0B62,400000,2500000241,,2024,6,CO,408101,H,,50,,,2500000242,-60.568.00,EUR,-60.568.00,60.568.00,EUR,60.568.00,EUR,EUR,25/06/2024,0.000,,W191062
0B62,400000,2500000241,,2024,6,CO,408101,H,,50,,,2500000242,-238.80,EUR,-238.80,238.80,EUR,238.80,EUR,EUR,25/06/2024,0.000,,W191062
0B62,400000,2500000241,,2024,6,CO,408101,H,,50,,,2500000242,-67.00,EUR,-67.00,67.00,EUR,67.00,EUR,EUR,25/06/2024,0.000,,W191062
0B62,400000,2500000241,,2024,6,CO,408101,H,,50,,,2500000242,-12.169.21,EUR,-12.169.21,12.169.21,EUR,12.169.21,EUR,EUR,25/06/2024,0.000,,W191062
0B62,400000,2500000241,,2024,6,CO,408101,H,,50,,,2500000242,-2.725.25,EUR,-2.725.25,2.725.25,EUR,2.725.25,EUR,EUR,25/06/2024,0.000,,W191062
0B62,400000,2500000242,,2024,7,CO,408101,S,,40,,,2500000242,794.00,EUR,794.00,794.00,EUR,794.00,EUR,EUR,09/07/2024,0.000,,W191062
0B62,400000,2500000242,,2024,7,CO,408101,S,,40,,,2500000242,18.639.83,EUR,18.639.83,18.639.83,EUR,18.639.83,EUR,EUR,09/07/2024,0.000,,W191062
0B62,400000,2500000242,,2024,7,CO,408101,H,,50,,,2500000242,-1.266.46,EUR,-1.266.46,1.266.46,EUR,1.266.46,EUR,EUR,09/07/2024,0.000,,W191062
0B62,400000,2500000242,,2024,7,CO,408101,S,,40,,,2500000242,1.700.00,EUR,1.700.00,1.700.00,EUR,1.700.00,EUR,EUR,09/07/2024,0.000,,W191062
0B62,400000,2500000242,,2024,7,CO,408101,S,,40,,,2500000242,60.568.00,EUR,60.568.00,60.568.00,EUR,60.568.00,EUR,EUR,09/07/2024,0.000,,W191062
0B62,400000,2500000242,,2024,7,CO,408101,S,,40,,,2500000242,238.80,EUR,238.80,238.80,EUR,238.80,EUR,EUR,09/07/2024,0.000,,W191062
0B62,400000,2500000242,,2024,7,CO,408101,S,,40,,,2500000242,67.00,EUR,67.00,67.00,EUR,67.00,EUR,EUR,09/07/2024,0.000,,W191062
0B62,400000,2500000242,,2024,7,CO,408101,S,,40,,,2500000242,12.169.21,EUR,12.169.21,12.169.21,EUR,12.169.21,EUR,EUR,09/07/2024,0.000,,W191062
0B62,400000,2500000242,,2024,7,CO,408101,S,,40,,,2500000242,2.725.25,EUR,2.725.25,2.725.25,EUR,2.725.25,EUR,EUR,09/07/2024,0.000,,W191062
0B62,410000,100000400,,2024,1,AB,401100,S,,27,,,100000400,880.00,EUR,880.00,880.00,EUR,880.00,EUR,EUR,24/01/2024,0.000,,W106467
0B62,410000,100000402,,2024,1,AB,401100,S,,27,,,100000402,880.00,EUR,880.00,880.00,EUR,880.00,EUR,EUR,24/01/2024,0.000,,W106467
0B62,410000,100000403,,2024,1,AB,401100,S,,27,,,100000403,1.100.00,EUR,1.100.00,1.100.00,EUR,1.100.00,EUR,EUR,24/01/2024,0.000,,W106467
0B62,410000,100000404,,2024,1,AB,401100,S,,27,,,100000404,1.100.00,EUR,1.100.00,1.100.00,EUR,1.100.00,EUR,EUR,24/01/2024,0.000,,W106467
0B62,410000,100000405,,2024,1,AB,401100,S,,27,,,100000405,1.100.00,EUR,1.100.00,1.100.00,EUR,1.100.00,EUR,EUR,24/01/2024,0.000,,W106467
0B62,410000,100000406,,2024,1,AB,401100,S,,27,,,100000406,1.100.00,EUR,1.100.00,1.100.00,EUR,1.100.00,EUR,EUR,24/01/2024,0.000,,W106467
0B62,410000,100000407,,2024,1,AB,401100,S,,27,,,100000407,1.320.00,EUR,1.320.00,1.320.00,EUR,1.320.00,EUR,EUR,24/01/2024,0.000,,W106467
0B62,410000,100000479,,2024,3,AB,401100,S,,27,,,2000000111,3.040.49,EUR,3.040.49,3.040.49,EUR,3.040.49,EUR,EUR,05/03/2024,0.000,,W106467
0B62,410000,100000490,,2024,3,AB,401100,S,,27,,,100000678,5.788.20,EUR,5.788.20,5.788.20,EUR,5.788.20,EUR,EUR,08/03/2024,0.000,,W106467
0B62,410000,100000490,,2024,3,AB,401100,H,,37,,,100000490,-5.788.20,EUR,-5.788.20,5.788.20,EUR,5.788.20,EUR,EUR,08/03/2024,0.000,,W106467
0B62,410000,100000502,,2024,3,AB,401100,S,,25,,,100000503,762.50,EUR,762.50,762.50,EUR,762.50,EUR,EUR,19/03/2024,0.000,,W128794
0B62,410000,100000513,,2024,3,AB,401100,S,,25,,,100000599,746.32,EUR,746.32,746.32,EUR,746.32,EUR,EUR,21/03/2024,0.000,,W128794
0B62,410000,100000514,,2024,3,AB,401100,S,,27,,,100000514,1.320.00,EUR,1.320.00,1.320.00,EUR,1.320.00,EUR,EUR,21/03/2024,0.000,,W106467
0B62,410000,100000515,,2024,3,AB,401100,S,,27,,,100000515,1.320.00,EUR,1.320.00,1.320.00,EUR,1.320.00,EUR,EUR,21/03/2024,0.000,,W106467
0B62,410000,100000516,,2024,3,AB,401100,S,,27,,,100000516,1.540.00,EUR,1.540.00,1.540.00,EUR,1.540.00,EUR,EUR,21/03/2024,0.000,,W106467
0B62,410000,100000518,,2024,3,AB,401100,S,,27,,,100000518,1.540.00,EUR,1.540.00,1.540.00,EUR,1.540.00,EUR,EUR,21/03/2024,0.000,,W106467
0B62,410000,100000519,,2024,3,AB,401100,S,,27,,,100000519,1.485.00,EUR,1.485.00,1.485.00,EUR,1.485.00,EUR,EUR,21/03/2024,0.000,,W106467
0B62,410000,100000595,,2024,4,AB,401100,S,,27,,,2000000190,2.414.15,EUR,2.414.15,2.414.15,EUR,2.414.15,EUR,EUR,25/04/2024,0.000,,W106467
0B62,410000,100000653,,2024,5,AB,401100,S,,27,,,2000000190,836.46,EUR,836.46,836.46,EUR,836.46,EUR,EUR,28/05/2024,0.000,,W106467
0B62,410000,100000678,,2024,6,AB,401100,S,,27,,,2000000246,2.375.15,EUR,2.375.15,2.375.15,EUR,2.375.15,EUR,EUR,13/06/2024,0.000,,W106467
0B62,410000,100000678,,2024,6,AB,401100,H,,37,,,100000678,-2.375.15,EUR,-2.375.15,2.375.15,EUR,2.375.15,EUR,EUR,13/06/2024,0.000,,W106467
0B62,410000,100000713,,2024,6,AB,401100,S,,27,,,2000000212,1.010.37,EUR,1.010.37,1.010.37,EUR,1.010.37,EUR,EUR,27/06/2024,0.000,,W106467
0B62,410000,100000738,,2024,7,AB,401100,S,,27,,,2000000215,12.92,EUR,12.92,12.92,EUR,12.92,EUR,EUR,10/07/2024,0.000,,W106467
0B62,410000,100000738,,2024,7,AB,401100,S,,27,,,100000738,9.700.17,EUR,9.700.17,9.700.17,EUR,9.700.17,EUR,EUR,10/07/2024,0.000,,W106467
0B62,410000,100000763,,2024,7,AB,401100,S,,27,,,2000000234,1.057.55,EUR,1.057.55,1.057.55,EUR,1.057.55,EUR,EUR,29/07/2024,0.000,,W106467
0B62,410000,100000812,,2024,8,AB,401100,S,,27,,,100000812,1.760.00,EUR,1.760.00,1.760.00,EUR,1.760.00,EUR,EUR,14/08/2024,0.000,,W106467
0B62,410000,100000814,,2024,8,AB,401100,S,,27,,,100000814,1.760.00,EUR,1.760.00,1.760.00,EUR,1.760.00,EUR,EUR,14/08/2024,0.000,,W106467
0B62,410000,100000815,,2024,8,AB,401100,S,,27,,,100000815,1.760.00,EUR,1.760.00,1.760.00,EUR,1.760.00,EUR,EUR,14/08/2024,0.000,,W106467
0B62,410000,100000835,,2024,8,AB,401100,S,,27,,,2000000259,938.08,EUR,938.08,938.08,EUR,938.08,EUR,EUR,27/08/2024,0.000,,W106467
0B62,410000,100000865,,2024,9,SA,401100,H,,35,,,100001013,-698.39,EUR,-698.39,698.39,EUR,698.39,EUR,EUR,20/09/2024,0.000,,W191062
0B62,410000,100000875,,2024,9,AB,401100,S,,27,,,2000000273,834.27,EUR,834.27,834.27,EUR,834.27,EUR,EUR,25/09/2024,0.000,,W106467
0B62,410000,100000930,,2024,10,AB,401100,S,,27,,,2000000283,925.28,EUR,925.28,925.28,EUR,925.28,EUR,EUR,24/10/2024,0.000,,W106467
0B62,410000,100001013,,2024,10,AB,401100,S,,25,,,100001013,698.39,EUR,698.39,698.39,EUR,698.39,EUR,EUR,01/11/2024,0.000,,W191062
0B62,410000,100001014,,2024,10,SA,401100,S,,25,A,,100001042,698.39,EUR,698.39,698.39,EUR,698.39,EUR,EUR,01/11/2024,0.000,,W191062
0B62,410000,100001014,,2024,10,SA,401100,S,,25,A,,100001043,1.383.61,EUR,1.383.61,1.383.61,EUR,1.383.61,EUR,EUR,01/11/2024,0.000,,W191062
0B62,410000,100001014,,2024,10,SA,401100,S,,25,A,,100001044,343.51,EUR,343.51,343.51,EUR,343.51,EUR,EUR,01/11/2024,0.000,,W191062
0B62,410000,100001043,,2024,11,AB,401100,S,,27,,,,145.84,EUR,145.84,145.84,EUR,145.84,EUR,EUR,19/11/2024,0.000,,W106467
0B62,410000,100001043,,2024,11,AB,401100,H,,37,,,100001043,-145.84,EUR,-145.84,145.84,EUR,145.84,EUR,EUR,19/11/2024,0.000,,W106467
0B62,410000,100001066,,2024,11,AB,401100,S,,27,,,2000000314,1.097.62,EUR,1.097.62,1.097.62,EUR,1.097.62,EUR,EUR,26/11/2024,0.000,,W106467
0B62,410000,1500000080,,2024,1,KZ,401100,S,,25,A,,100000409,227.471.75,EUR,227.471.75,227.471.75,EUR,227.471.75,EUR,EUR,22/01/2024,0.000,,W128794
0B62,410000,1500000108,,2024,8,KZ,401100,S,,25,A,,,4.87,EUR,4.87,4.87,EUR,4.87,EUR,EUR,29/08/2024,0.000,,W191062
0B62,410000,1500000116,,2024,9,KZ,401100,S,,25,A,,100001037,4.428.00,EUR,4.428.00,4.428.00,EUR,4.428.00,EUR,EUR,27/09/2024,0.000,,W191062
0B62,410000,1500000117,,2024,10,KZ,401100,S,,25,A,,,4.55,EUR,4.55,4.55,EUR,4.55,EUR,EUR,08/10/2024,0.000,,W191062
0B62,410000,1500000118,,2024,10,KZ,401100,S,,25,A,,100000913,2.40,EUR,2.40,2.40,EUR,2.40,EUR,EUR,14/10/2024,0.000,,W191062
0B62,410000,1700000007,,2024,2,KG,401100,S,,21,,,2000000083,147.50,EUR,147.50,147.50,EUR,147.50,EUR,EUR,31/01/2024,0.000,,WF-BATCH
0B62,410000,1900000117,,2024,1,KR,401100,H,,31,,,2000000081,-102.940.21,EUR,-102.940.21,102.940.21,EUR,102.940.21,EUR,EUR,16/01/2024,0.000,,WF-BATCH
0B62,410000,1900000119,,2024,2,KR,401100,H,,31,,,2000000083,-147.50,EUR,-147.50,147.50,EUR,147.50,EUR,EUR,31/01/2024,0.000,,WF-BATCH
0B62,410000,1900000120,,2024,2,KR,401100,H,,31,,,2000000083,-195.00,EUR,-195.00,195.00,EUR,195.00,EUR,EUR,31/01/2024,0.000,,WF-BATCH
0B62,410000,1900000121,,2024,2,KR,401100,H,,31,,,2000000083,-265.00,EUR,-265.00,265.00,EUR,265.00,EUR,EUR,31/01/2024,0.000,,WF-BATCH
0B62,410000,1900000126,,2024,2,KR,401100,H,,31,,,2000000111,-24.792.45,EUR,-24.792.45,24.792.45,EUR,24.792.45,EUR,EUR,16/02/2024,0.000,,WF-BATCH
0B62,410000,1900000128,,2024,2,KR,401100,H,,31,,,100000503,-350.22,EUR,-350.22,350.22,EUR,350.22,EUR,EUR,23/02/2024,0.000,,WF-BATCH
0B62,410000,1900000129,,2024,2,KR,401100,H,,31,,,100000599,-101.87,EUR,-101.87,101.87,EUR,101.87,EUR,EUR,23/02/2024,0.000,,WF-BATCH
0B62,410000,1900000130,,2024,2,KR,401100,H,,31,,,100000503,-412.28,EUR,-412.28,412.28,EUR,412.28,EUR,EUR,23/02/2024,0.000,,WF-BATCH
0B62,410000,1900000135,,2024,3,KR,401100,H,,31,,,2000000124,-102.50,EUR,-102.50,102.50,EUR,102.50,EUR,EUR,20/03/2024,0.000,,WF-BATCH
0B62,410000,1900000136,,2024,3,KR,401100,H,,31,,,2000000124,-75.00,EUR,-75.00,75.00,EUR,75.00,EUR,EUR,20/03/2024,0.000,,WF-BATCH
0B62,410000,1900000137,,2024,3,KR,401100,H,,31,,,2000000124,-82.50,EUR,-82.50,82.50,EUR,82.50,EUR,EUR,20/03/2024,0.000,,WF-BATCH
0B62,410000,1900000138,,2024,3,KR,401100,H,,31,,,2000000124,-125.00,EUR,-125.00,125.00,EUR,125.00,EUR,EUR,20/03/2024,0.000,,WF-BATCH
0B62,410000,1900000139,,2024,3,KR,401100,H,,31,,,2000000135,-200.00,EUR,-200.00,200.00,EUR,200.00,EUR,EUR,22/03/2024,0.000,,WF-BATCH
0B62,410000,1900000141,,2024,3,KR,401100,H,,31,,,2000000135,-107.50,EUR,-107.50,107.50,EUR,107.50,EUR,EUR,22/03/2024,0.000,,WF-BATCH
0B62,410000,1900000142,,2024,3,KR,401100,H,,31,,,2000000135,-120.00,EUR,-120.00,120.00,EUR,120.00,EUR,EUR,22/03/2024,0.000,,WF-BATCH
0B62,410000,1900000143,,2024,3,KR,401100,H,,31,,,2000000135,-45.00,EUR,-45.00,45.00,EUR,45.00,EUR,EUR,22/03/2024,0.000,,WF-BATCH
0B62,410000,1900000144,,2024,3,KR,401100,H,,31,,,2000000135,-115.00,EUR,-115.00,115.00,EUR,115.00,EUR,EUR,22/03/2024,0.000,,WF-BATCH
0B62,410000,1900000145,,2024,3,KR,401100,H,,31,,,100000599,-644.45,EUR,-644.45,644.45,EUR,644.45,EUR,EUR,22/03/2024,0.000,,WF-BATCH
0B62,410000,1900000146,,2024,3,KR,401100,H,,31,,,2000000135,-72.50,EUR,-72.50,72.50,EUR,72.50,EUR,EUR,22/03/2024,0.000,,WF-BATCH
0B62,410000,1900000147,,2024,3,KR,401100,H,,31,,,2000000135,-147.50,EUR,-147.50,147.50,EUR,147.50,EUR,EUR,22/03/2024,0.000,,WF-BATCH
0B62,410000,1900000149,,2024,3,KR,401100,H,,31,,,2000000141,-181.968.24,EUR,-181.968.24,181.968.24,EUR,181.968.24,EUR,EUR,27/03/2024,0.000,,WF-BATCH
0B62,410000,1900000152,,2024,4,KR,401100,H,,31,,,2000000190,-104.731.61,EUR,-104.731.61,104.731.61,EUR,104.731.61,EUR,EUR,15/04/2024,0.000,,WF-BATCH
0B62,410000,1900000154,,2024,4,KR,401100,H,,31,,,2000000170,-182.50,EUR,-182.50,182.50,EUR,182.50,EUR,EUR,22/04/2024,0.000,,WF-BATCH
0B62,410000,1900000155,,2024,4,KR,401100,H,,31,,,2000000170,-137.50,EUR,-137.50,137.50,EUR,137.50,EUR,EUR,22/04/2024,0.000,,WF-BATCH
0B62,410000,1900000157,,2024,4,KR,401100,H,,31,,,100001042,-353.97,EUR,-353.97,353.97,EUR,353.97,EUR,EUR,24/04/2024,0.000,,WF-BATCH
