BUKRS,GJAHR,BELNR,BUDAT,CPUDT,CPUTM,USNAM,BKTXT,WAERS,BSTAT,TCODE,STBLG,BLART,BLDAT,UPDDT,LOTE BSEG
ES10,2024,5100077896,04/01/2024,04/01/2024,13:17:30,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077897,04/01/2024,04/01/2024,13:17:30,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077898,04/01/2024,04/01/2024,13:17:30,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077899,04/01/2024,04/01/2024,13:23:41,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077900,04/01/2024,04/01/2024,13:23:41,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077901,04/01/2024,04/01/2024,13:23:41,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077902,04/01/2024,04/01/2024,13:30:27,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077903,04/01/2024,04/01/2024,13:30:27,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077904,04/01/2024,04/01/2024,13:30:27,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077905,04/01/2024,04/01/2024,13:37:02,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077906,04/01/2024,04/01/2024,14:33:44,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077907,04/01/2024,04/01/2024,14:33:44,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077908,04/01/2024,04/01/2024,14:33:44,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077909,04/01/2024,04/01/2024,14:43:18,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077910,04/01/2024,04/01/2024,14:43:18,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077911,04/01/2024,04/01/2024,14:43:18,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077912,04/01/2024,04/01/2024,14:49:32,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077913,04/01/2024,04/01/2024,14:53:09,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077914,04/01/2024,04/01/2024,14:57:37,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077915,04/01/2024,04/01/2024,15:02:34,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077916,04/01/2024,04/01/2024,15:02:34,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077917,04/01/2024,04/01/2024,15:02:34,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077918,04/01/2024,04/01/2024,15:11:03,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077919,04/01/2024,04/01/2024,15:11:03,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077920,04/01/2024,04/01/2024,15:11:03,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077921,04/01/2024,04/01/2024,15:11:03,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077922,04/01/2024,04/01/2024,15:11:03,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077923,04/01/2024,04/01/2024,15:11:03,00347398,,EUR,,MRRL,,RE,04/01/2024,,1
ES10,2024,5100077924,05/01/2024,05/01/2024,10:46:21,10346021,,EUR,,MRRL,,RE,05/01/2024,,1
ES10,2024,1900031598,08/01/2024,08/01/2024,10:34:49,00347398,SD000137747,EUR,,FBR2,1700021310,KR,30/11/2023,,1
ES10,2024,1900031599,08/01/2024,08/01/2024,10:36:29,00347398,RSD000047105,EUR,,FBR2,,KR,30/11/2023,,1
ES10,2024,1900031600,08/01/2024,08/01/2024,10:43:13,00347398,RRA000231888,EUR,,FBR2,,KR,30/11/2023,,1
ES10,2024,1900031601,08/01/2024,08/01/2024,10:45:47,00347398,A001378132,EUR,,FBR2,,KR,30/11/2023,,1
ES10,2024,1900031602,08/01/2024,08/01/2024,10:56:36,00347398,,EUR,,FBR2,,KR,01/11/2023,,1
ES10,2024,5100077925,08/01/2024,08/01/2024,10:13:37,00347398,,EUR,,MRRL,,RE,08/01/2024,,1
ES10,2024,5100077926,08/01/2024,08/01/2024,10:13:37,00347398,,EUR,,MRRL,,RE,08/01/2024,,1
ES10,2024,5100077927,08/01/2024,08/01/2024,10:13:37,00347398,,EUR,,MRRL,,RE,08/01/2024,,1
ES10,2024,5100077928,08/01/2024,08/01/2024,10:13:37,00347398,,EUR,,MRRL,,RE,08/01/2024,,1
ES10,2024,5100077929,08/01/2024,08/01/2024,10:13:37,00347398,,EUR,,MRRL,,RE,08/01/2024,,1
ES10,2024,5100077930,08/01/2024,08/01/2024,10:13:37,00347398,,EUR,,MRRL,,RE,08/01/2024,,1
ES10,2024,5100077931,08/01/2024,08/01/2024,10:13:37,00347398,,EUR,,MRRL,,RE,08/01/2024,,1
ES10,2024,5100077932,08/01/2024,08/01/2024,12:01:41,00347398,,EUR,,MRRL,,RE,08/01/2024,,1
ES10,2024,5100077933,08/01/2024,08/01/2024,12:01:41,00347398,,EUR,,MRRL,,RE,08/01/2024,,1
ES10,2024,5100077934,08/01/2024,08/01/2024,12:01:41,00347398,,EUR,,MRRL,,RE,08/01/2024,,1
ES10,2024,5100077935,08/01/2024,08/01/2024,12:01:41,00347398,,EUR,,MRRL,,RE,08/01/2024,,1
ES10,2024,5100077936,08/01/2024,08/01/2024,12:01:41,00347398,,EUR,,MRRL,,RE,08/01/2024,,1
ES10,2024,5100077937,08/01/2024,08/01/2024,12:01:41,00347398,,EUR,,MRRL,,RE,08/01/2024,,1
ES10,2024,5100077938,08/01/2024,08/01/2024,12:01:41,00347398,,EUR,,MRRL,,RE,08/01/2024,,1
ES10,2024,5100077939,08/01/2024,08/01/2024,12:01:41,00347398,,EUR,,MRRL,,RE,08/01/2024,,1
ES10,2024,1900031603,09/01/2024,09/01/2024,9:24:30,00347398,Travel expenses,EUR,,FBR2,,KR,19/12/2023,,1
ES10,2024,1900031604,09/01/2024,09/01/2024,9:34:39,00347398,Travel expenses,EUR,,FBR2,,KR,31/12/2023,,1
ES10,2024,1900031605,09/01/2024,09/01/2024,9:42:05,00347398,Rent Flat Landatxueta 9,EUR,,FBR2,,KR,01/01/2024,,1
ES10,2024,1900031606,09/01/2024,09/01/2024,11:13:07,00347398,Car washing,EUR,,FBR2,,KR,28/10/2023,,1
ES10,2024,1900031607,09/01/2024,09/01/2024,11:15:41,00347398,Car washing,EUR,,FBR2,,KR,27/07/2023,,1
ES10,2024,1900031608,09/01/2024,09/01/2024,11:19:19,00347398,Car washing,EUR,,FBR2,,KR,22/12/2023,,1
ES10,2024,1900031609,09/01/2024,09/01/2024,11:31:11,00347398,,EUR,,FBR2,,KR,01/12/2023,,1
ES10,2024,2000005493,09/01/2024,09/01/2024,14:54:45,10346021,20240109-PAGO1,EUR,,F110,,ZP,09/01/2024,,1
ES10,2024,2000005494,09/01/2024,09/01/2024,14:54:46,10346021,20240109-PAGO1,EUR,,F110,,ZP,09/01/2024,,1
ES10,2024,2000005495,09/01/2024,09/01/2024,14:54:46,10346021,20240109-PAGO1,EUR,,F110,,ZP,09/01/2024,,1
ES10,2024,2000005496,09/01/2024,09/01/2024,14:54:46,10346021,20240109-PAGO1,EUR,,F110,,ZP,09/01/2024,,1
ES10,2024,5100077940,09/01/2024,09/01/2024,9:19:30,00347398,,EUR,,MRRL,,RE,09/01/2024,,1
ES10,2024,5100077941,09/01/2024,09/01/2024,9:19:30,00347398,,EUR,,MRRL,,RE,09/01/2024,,1
ES10,2024,5100077942,09/01/2024,09/01/2024,9:19:30,00347398,,EUR,,MRRL,,RE,09/01/2024,,1
ES10,2024,5100077943,09/01/2024,09/01/2024,9:19:30,00347398,,EUR,,MRRL,,RE,09/01/2024,,1
ES10,2024,5100077944,09/01/2024,09/01/2024,9:19:30,00347398,,EUR,,MRRL,,RE,09/01/2024,,1
ES10,2024,5100077945,09/01/2024,09/01/2024,9:19:30,00347398,,EUR,,MRRL,,RE,09/01/2024,,1
ES10,2024,5100077946,09/01/2024,09/01/2024,9:19:30,00347398,,EUR,,MRRL,,RE,09/01/2024,,1
ES10,2024,5100077947,09/01/2024,09/01/2024,9:19:30,00347398,,EUR,,MRRL,,RE,09/01/2024,,1
ES10,2024,90010481,10/01/2024,10/01/2024,16:16:52,10346021,,EUR,,VF02,,RV,10/01/2024,,1
ES10,2024,90010484,10/01/2024,10/01/2024,16:33:34,10346021,,EUR,,VF02,100008251,RV,10/01/2024,,1
ES10,2024,1900031610,10/01/2024,10/01/2024,12:07:38,00347398,,EUR,,FBR2,,KR,28/11/2023,,1
ES10,2024,1900031611,10/01/2024,10/01/2024,12:46:15,00347398,Legal advice,EUR,,FB01,,KR,30/09/2023,,1
ES10,2024,1900031612,10/01/2024,10/01/2024,13:18:01,00347398,,EUR,,FBR2,,KR,31/10/2023,,1
ES10,2024,1900031613,10/01/2024,10/01/2024,13:22:43,00347398,,EUR,,FBR2,,KR,08/01/2024,,1
ES10,2024,4900005817,10/01/2024,10/01/2024,9:09:40,10329673,,EUR,,VL02N,,WL,04/01/2024,,1
ES10,2024,5100077948,10/01/2024,10/01/2024,12:52:59,00347398,,EUR,,MIRO,,RE,14/07/2023,,1
ES10,2024,90010482,11/01/2024,11/01/2024,14:38:22,10346021,,EUR,,VF02,100008250,RV,11/01/2024,,1
ES10,2024,90010483,11/01/2024,11/01/2024,14:40:41,10346021,,EUR,,VF02,100008249,RV,11/01/2024,,1
ES10,2024,90010485,11/01/2024,11/01/2024,15:27:30,10346021,,EUR,,VF02,,RV,11/01/2024,,1
ES10,2024,5100077949,12/01/2024,12/01/2024,10:00:00,00347398,,EUR,,MR8M,,RE,07/11/2023,,1
ES10,2024,5100077950,12/01/2024,12/01/2024,10:04:54,00347398,,EUR,,MR8M,,RE,29/12/2023,,1
ES10,2024,100008248,15/01/2024,15/01/2024,16:34:51,10346021,TRAVEL EXPENSES 01-2024,EUR,,FB01,,SA,15/01/2024,,1
ES10,2024,2000005497,15/01/2024,15/01/2024,16:49:12,10346021,20240115-PAGO1,EUR,,F110,,ZP,15/01/2024,,1
ES10,2024,2000005498,15/01/2024,15/01/2024,16:49:12,10346021,20240115-PAGO1,EUR,,F110,,ZP,15/01/2024,,1
ES10,2024,2000005499,15/01/2024,15/01/2024,16:49:12,10346021,20240115-PAGO1,EUR,,F110,,ZP,15/01/2024,,1
ES10,2024,2000005500,15/01/2024,15/01/2024,16:49:12,10346021,20240115-PAGO1,EUR,,F110,,ZP,15/01/2024,,1
ES10,2024,2000005501,15/01/2024,15/01/2024,16:49:12,10346021,20240115-PAGO1,EUR,,F110,,ZP,15/01/2024,,1
ES10,2024,2000005502,15/01/2024,15/01/2024,16:49:12,10346021,20240115-PAGO1,EUR,,F110,,ZP,15/01/2024,,1
ES10,2024,2000005503,15/01/2024,15/01/2024,16:49:12,10346021,20240115-PAGO1,EUR,,F110,,ZP,15/01/2024,,1
ES10,2024,2000005504,15/01/2024,15/01/2024,16:49:13,10346021,20240115-PAGO1,EUR,,F110,,ZP,15/01/2024,,1
ES10,2024,2000005505,15/01/2024,15/01/2024,16:49:13,10346021,20240115-PAGO1,EUR,,F110,,ZP,15/01/2024,,1
ES10,2024,95027730,16/01/2024,16/01/2024,9:43:41,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027731,16/01/2024,16/01/2024,9:51:45,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027732,16/01/2024,16/01/2024,9:56:15,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027733,16/01/2024,16/01/2024,10:03:35,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027734,16/01/2024,16/01/2024,10:06:22,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027735,16/01/2024,16/01/2024,10:13:51,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027736,16/01/2024,16/01/2024,10:14:22,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027737,16/01/2024,16/01/2024,10:20:37,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027738,16/01/2024,16/01/2024,10:29:17,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027739,16/01/2024,16/01/2024,10:32:05,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027740,16/01/2024,16/01/2024,10:34:53,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027741,16/01/2024,16/01/2024,10:37:40,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027742,16/01/2024,16/01/2024,10:40:30,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027743,16/01/2024,16/01/2024,10:43:17,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027744,16/01/2024,16/01/2024,10:46:14,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027745,16/01/2024,16/01/2024,10:48:50,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027746,16/01/2024,16/01/2024,10:51:41,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027747,16/01/2024,16/01/2024,10:54:35,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027748,16/01/2024,16/01/2024,10:57:34,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027749,16/01/2024,16/01/2024,11:00:34,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027750,16/01/2024,16/01/2024,11:03:28,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027751,16/01/2024,16/01/2024,11:06:18,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027752,16/01/2024,16/01/2024,11:09:02,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027753,16/01/2024,16/01/2024,11:11:41,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027754,16/01/2024,16/01/2024,11:14:47,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027755,16/01/2024,16/01/2024,11:17:40,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027756,16/01/2024,16/01/2024,11:20:28,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027757,16/01/2024,16/01/2024,11:23:29,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027758,16/01/2024,16/01/2024,11:26:57,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027759,16/01/2024,16/01/2024,11:29:50,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027760,16/01/2024,16/01/2024,11:32:30,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027761,16/01/2024,16/01/2024,11:35:23,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027762,16/01/2024,16/01/2024,11:38:37,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027763,16/01/2024,16/01/2024,11:41:29,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027764,16/01/2024,16/01/2024,11:44:09,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027765,16/01/2024,16/01/2024,11:46:57,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027766,16/01/2024,16/01/2024,11:49:28,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027767,16/01/2024,16/01/2024,11:50:59,RFC_USER,,EUR,,,,FT,09/01/2024,,1
ES10,2024,95027768,16/01/2024,16/01/2024,12:16:14,RFC_USER,,EUR,,,,FT,12/01/2024,,1
ES10,2024,95027769,16/01/2024,16/01/2024,12:17:40,RFC_USER,,EUR,,,,FT,12/01/2024,,1
ES10,2024,95027770,16/01/2024,16/01/2024,12:21:22,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027771,16/01/2024,16/01/2024,12:21:25,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027772,16/01/2024,16/01/2024,12:21:27,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027773,16/01/2024,16/01/2024,12:21:30,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027774,16/01/2024,16/01/2024,12:21:33,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027775,16/01/2024,16/01/2024,12:21:36,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027776,16/01/2024,16/01/2024,12:21:38,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027777,16/01/2024,16/01/2024,12:21:41,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027778,16/01/2024,16/01/2024,12:21:43,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027779,16/01/2024,16/01/2024,12:21:46,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027780,16/01/2024,16/01/2024,12:21:48,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027781,16/01/2024,16/01/2024,12:21:50,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027782,16/01/2024,16/01/2024,12:21:53,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027783,16/01/2024,16/01/2024,12:21:55,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027784,16/01/2024,16/01/2024,12:21:58,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027785,16/01/2024,16/01/2024,12:22:00,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027786,16/01/2024,16/01/2024,12:22:02,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027787,16/01/2024,16/01/2024,12:22:05,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027788,16/01/2024,16/01/2024,12:22:07,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027789,16/01/2024,16/01/2024,12:22:09,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027790,16/01/2024,16/01/2024,12:22:11,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027791,16/01/2024,16/01/2024,12:22:14,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027792,16/01/2024,16/01/2024,12:22:16,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027793,16/01/2024,16/01/2024,12:22:18,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027794,16/01/2024,16/01/2024,12:22:21,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027795,16/01/2024,16/01/2024,12:22:24,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027796,16/01/2024,16/01/2024,12:22:26,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027797,16/01/2024,16/01/2024,12:22:28,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027798,16/01/2024,16/01/2024,12:22:31,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027799,16/01/2024,16/01/2024,12:22:33,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027800,16/01/2024,16/01/2024,12:22:35,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027801,16/01/2024,16/01/2024,12:22:38,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027802,16/01/2024,16/01/2024,12:22:40,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027803,16/01/2024,16/01/2024,12:22:42,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027804,16/01/2024,16/01/2024,12:22:44,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027805,16/01/2024,16/01/2024,12:22:47,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027806,16/01/2024,16/01/2024,12:22:51,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027807,16/01/2024,16/01/2024,12:22:54,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027808,16/01/2024,16/01/2024,12:22:58,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027809,16/01/2024,16/01/2024,12:23:02,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027810,16/01/2024,16/01/2024,12:23:04,RFC_USER,,EUR,,,,FT,10/01/2024,,1
ES10,2024,95027811,16/01/2024,16/01/2024,12:23:08,RFC_USER,,EUR,,,,FT,10/01/2024,,1
