NumDoc,Fecha,Linea,CuentaMayor,Ref,Importe,Signo,Concepto,CodEmp,Periodo,Moneda,Estado,Usuario,FechaReg,Tipo
D024,2024-01-26,1,380001,REF024,1950.00,D,Manipulacion materiales,EMP01,202401,EUR,A,USR005,2024-01-26 14:00:00,GA
D024,2024-01-26,2,113001,REF024,1950.00,H,Manipulacion materiales,EMP01,202401,EUR,A,USR005,2024-01-26 14:00:00,GA
D025,2024-01-27,1,535001,REF025,580.50,D,Honorarios legales,EMP01,202401,EUR,A,USR001,2024-01-27 08:45:00,GA
D025,2024-01-27,2,113001,REF025,580.50,H,Honorarios legales,EMP01,202401,EUR,A,USR001,2024-01-27 08:45:00,GA
D026,2024-01-27,1,113001,REF026,4200.00,D,Venta al por menor,EMP01,202401,EUR,A,USR003,2024-01-27 11:30:00,VE
D026,2024-01-27,2,700001,REF026,4200.00,H,Venta al por menor,EMP01,202401,EUR,A,USR003,2024-01-27 11:30:00,VE
D027,2024-01-28,1,633001,REF027,775.00,D,Comunicaciones telefono,EMP01,202401,EUR,A,USR002,2024-01-28 09:20:00,GA
D027,2024-01-28,2,113001,REF027,775.00,H,Comunicaciones telefono,EMP01,202401,EUR,A,USR002,2024-01-28 09:20:00,GA
D028,2024-01-28,1,390001,REF028,3100.00,D,Envases y embalajes,EMP01,202401,EUR,A,USR005,2024-01-28 13:45:00,GA
D028,2024-01-28,2,113001,REF028,3100.00,H,Envases y embalajes,EMP01,202401,EUR,A,USR005,2024-01-28 13:45:00,GA
D029,2024-01-29,1,540001,REF029,1250.00,D,Auditoria externa,EMP01,202401,EUR,A,USR001,2024-01-29 10:00:00,GA
D029,2024-01-29,2,113001,REF029,1250.00,H,Auditoria externa,EMP01,202401,EUR,A,USR001,2024-01-29 10:00:00,GA
D030,2024-01-29,1,113001,REF030,8900.00,D,Pago cliente importante,EMP01,202401,EUR,A,USR003,2024-01-29 15:00:00,CO
D030,2024-01-29,2,700001,REF030,8900.00,H,Pago cliente importante,EMP01,202401,EUR,A,USR003,2024-01-29 15:00:00,CO
D031,2024-01-30,1,634001,REF031,550.75,D,Productos limpieza,EMP01,202401,EUR,A,USR002,2024-01-30 08:30:00,GA
D031,2024-01-30,2,113001,REF031,550.75,H,Productos limpieza,EMP01,202401,EUR,A,USR002,2024-01-30 08:30:00,GA
D032,2024-01-30,1,395001,REF032,2800.00,D,Control calidad productos,EMP01,202401,EUR,A,USR006,2024-01-30 12:15:00,GA
D032,2024-01-30,2,113001,REF032,2800.00,H,Control calidad productos,EMP01,202401,EUR,A,USR006,2024-01-30 12:15:00,GA
D033,2024-01-31,1,635001,REF033,380.00,D,Envios y correspondencia,EMP01,202401,EUR,A,USR004,2024-01-31 09:45:00,GA
D033,2024-01-31,2,113001,REF033,380.00,H,Envios y correspondencia,EMP01,202401,EUR,A,USR004,2024-01-31 09:45:00,GA
D034,2024-01-31,1,113001,REF034,6750.00,D,Ventas cierre mes,EMP01,202401,EUR,A,USR003,2024-01-31 16:30:00,VE
D034,2024-01-31,2,700001,REF034,6750.00,H,Ventas cierre mes,EMP01,202401,EUR,A,USR003,2024-01-31 16:30:00,VE
D035,2024-01-31,1,681001,REF035,2500.00,D,Amortizacion equipos,EMP01,202401,EUR,A,USR001,2024-01-31 17:00:00,AM
D035,2024-01-31,2,281001,REF035,2500.00,H,Amortizacion equipos,EMP01,202401,EUR,A,USR001,2024-01-31 17:00:00,AM
