TransID,TDate,Seq,AcctNum,RefCode,Value,Flag,Memo,Entity,Per,Curr,Stat,CreatedBy,RegTime,Cat
TR018,2024-01-12,1,101234,RF018,4300.00,+,International sales,COMP1,2024-01,USD,OPEN,USER03,2024-01-12T13:45:00,INT
TR018,2024-01-12,2,401234,RF018,4300.00,-,International sales,COMP1,2024-01,USD,OPEN,USER03,2024-01-12T13:45:00,INT
TR019,2024-01-15,1,606234,RF019,1020.50,+,External contractor fees,COMP1,2024-01,USD,OPEN,USER02,2024-01-15T11:00:00,EXP
TR019,2024-01-15,2,101234,RF019,1020.50,-,External contractor fees,COMP1,2024-01,USD,OPEN,USER02,2024-01-15T11:00:00,EXP
TR020,2024-01-15,1,304234,RF020,3150.00,+,IT hardware acquisition,COMP1,2024-01,USD,OPEN,USER06,2024-01-15T15:30:00,IT
TR020,2024-01-15,2,101234,RF020,3150.00,-,IT hardware acquisition,COMP1,2024-01,USD,OPEN,USER06,2024-01-15T15:30:00,IT
TR021,2024-01-16,1,506234,RF021,385.00,+,Banking service charges,COMP1,2024-01,USD,OPEN,USER01,2024-01-16T08:15:00,EXP
TR021,2024-01-16,2,101234,RF021,385.00,-,Banking service charges,COMP1,2024-01,USD,OPEN,USER01,2024-01-16T08:15:00,EXP
TR022,2024-01-16,1,101234,RF022,6200.00,+,Maintenance contract revenue,COMP1,2024-01,USD,OPEN,USER03,2024-01-16T12:00:00,CNT
TR022,2024-01-16,2,404234,RF022,6200.00,-,Maintenance contract revenue,COMP1,2024-01,USD,OPEN,USER03,2024-01-16T12:00:00,CNT
TR023,2024-01-17,1,607234,RF023,1250.00,+,Staff training programs,COMP1,2024-01,USD,OPEN,USER04,2024-01-17T10:30:00,TRN
TR023,2024-01-17,2,101234,RF023,1250.00,-,Staff training programs,COMP1,2024-01,USD,OPEN,USER04,2024-01-17T10:30:00,TRN
TR024,2024-01-17,1,305234,RF024,2200.00,+,Material handling equipment,COMP1,2024-01,USD,OPEN,USER05,2024-01-17T14:15:00,EQP
TR024,2024-01-17,2,101234,RF024,2200.00,-,Material handling equipment,COMP1,2024-01,USD,OPEN,USER05,2024-01-17T14:15:00,EQP
TR025,2024-01-18,1,507234,RF025,670.80,+,Professional consultation,COMP1,2024-01,USD,OPEN,USER01,2024-01-18T09:20:00,CON
TR025,2024-01-18,2,101234,RF025,670.80,-,Professional consultation,COMP1,2024-01,USD,OPEN,USER01,2024-01-18T09:20:00,CON
TR026,2024-01-18,1,101234,RF026,4850.00,+,Retail channel sales,COMP1,2024-01,USD,OPEN,USER03,2024-01-18T11:45:00,RET
TR026,2024-01-18,2,401234,RF026,4850.00,-,Retail channel sales,COMP1,2024-01,USD,OPEN,USER03,2024-01-18T11:45:00,RET
TR027,2024-01-19,1,608234,RF027,890.00,+,Telecommunications services,COMP1,2024-01,USD,OPEN,USER02,2024-01-19T08:45:00,TEL
TR027,2024-01-19,2,101234,RF027,890.00,-,Telecommunications services,COMP1,2024-01,USD,OPEN,USER02,2024-01-19T08:45:00,TEL
TR028,2024-01-19,1,306234,RF028,3500.00,+,Packaging and shipping materials,COMP1,2024-01,USD,OPEN,USER05,2024-01-19T13:30:00,PKG
TR028,2024-
