Diario,Per.,Nº asto.,F. ctble. asto.,F. entr.,Libro,Cuenta,Descr. cta.,Descr. apte.,Imp. ctble.,Imp. div. Debe,Imp. div. Haber,Ref. doc.,CodCli,Divisa,Usuario contab.,Business Unit
BAN,12,112400700,02/12/2024,27/12/2024,GE,631001,I.A.E.,IAE Madrid 2024,1952.12,1952.12,0,IAE Madrid 2024,,EUR,silviamunoz,01
BAN,12,112400700,02/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,IAE Madrid 2024,-1952.12,0,1952.12,IAE Madrid 2024,,EUR,silviamunoz,01
BAN,12,112400701,12/12/2024,27/12/2024,GE,163312,Deudas L/P Ekon,Préstamo CEGID SMB,-275000,0,275000,Préstamo CEGID SMB,5025,EUR,silviamunoz,01
BAN,12,112400701,12/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Préstamo CEGID SMB,275000,275000,0,Préstamo CEGID SMB,5025,EUR,silviamunoz,01
BAN,12,112400702,16/12/2024,27/12/2024,GE,163312,Deudas L/P Ekon,Préstamo CEGID SMB,-325000,0,325000,Préstamo CEGID SMB,5025,EUR,silviamunoz,01
BAN,12,112400702,16/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Préstamo CEGID SMB,325000,325000,0,Préstamo CEGID SMB,5025,EUR,silviamunoz,01
BAN,12,112400703,19/12/2024,27/12/2024,GE,163312,Deudas L/P Ekon,Préstamo CEGID SMB,-210000,0,210000,Préstamo CEGID SMB,5025,EUR,silviamunoz,01
BAN,12,112400703,19/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Préstamo CEGID SMB,210000,210000,0,Préstamo CEGID SMB,5025,EUR,silviamunoz,01
BAN,12,112400704,16/12/2024,27/12/2024,GE,163320,Deudas L/P Revo Systems,Préstamo REVO Systems,-200000,0,200000,Préstamo REVO Systems,2011,EUR,silviamunoz,01
BAN,12,112400704,16/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Préstamo REVO Systems,200000,200000,0,Préstamo REVO Systems,2011,EUR,silviamunoz,01
BAN,12,112400705,16/12/2024,27/12/2024,GE,163318,Deudas L/P Gestión Remota. S.L.,Préstamo de  Gestiona,-100000,0,100000,Préstamo de  Gestiona,5509,EUR,silviamunoz,01
BAN,12,112400705,16/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Préstamo de  Gestiona,100000,100000,0,Préstamo de  Gestiona,5509,EUR,silviamunoz,01
BAN,12,112400706,24/12/2024,27/12/2024,GE,513315,Deudas C/P Cegid. SAS,,-12000000,0,12000000,Préstamo CEGID,1135,EUR,silviamunoz,01
BAN,12,112400706,24/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,,12000000,12000000,0,Préstamo CEGID,1135,EUR,silviamunoz,01
BAN,12,112400707,12/12/2024,27/12/2024,GE,465000,Sueldos y salarios,Pago Nóminas 202412 Extras,-88215.04,0,88215.04,Pago Nóminas 202412 Extras,,EUR,silviamunoz,01
BAN,12,112400707,12/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Pago Nóminas 202412 Extras,88215.04,88215.04,0,Pago Nóminas 202412 Extras,,EUR,silviamunoz,01
BAN,12,112400708,27/12/2024,27/12/2024,GE,465000,Sueldos y salarios,Pago Nóminas 202412,-89031.61,0,89031.61,Pago Nóminas 202412,,EUR,silviamunoz,01
BAN,12,112400708,27/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Pago Nóminas 202412,89031.61,89031.61,0,Pago Nóminas 202412,,EUR,silviamunoz,01
BAN,12,112400709,12/12/2024,27/12/2024,GE,465000,Sueldos y salarios,Pago Nóminas 202412 Extras,88215.04,88215.04,0,Pago Nóminas 202412 Extras,,EUR,silviamunoz,01
BAN,12,112400709,12/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Pago Nóminas 202412 Extras,-88215.04,0,88215.04,Pago Nóminas 202412 Extras,,EUR,silviamunoz,01
BAN,12,112400710,12/12/2024,27/12/2024,GE,465000,Sueldos y salarios,Pago Nóminas 202412 Extras,88215.04,88215.04,0,Pago Nóminas 202412 Extras,,EUR,silviamunoz,01
BAN,12,112400710,12/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Pago Nóminas 202412 Extras,-88215.04,0,88215.04,Pago Nóminas 202412 Extras,,EUR,silviamunoz,01
BAN,12,112400711,27/12/2024,27/12/2024,GE,465000,Sueldos y salarios,Pago Nóminas 202412,89031.61,89031.61,0,Pago Nóminas 202412,,EUR,silviamunoz,01
BAN,12,112400711,27/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Pago Nóminas 202412,-89031.61,0,89031.61,Pago Nóminas 202412,,EUR,silviamunoz,01
BAN,12,112400712,27/12/2024,27/12/2024,GE,465000,Sueldos y salarios,Pago Nóminas 202412,89031.61,89031.61,0,Pago Nóminas 202412,,EUR,silviamunoz,01
BAN,12,112400712,27/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Pago Nóminas 202412,-89031.61,0,89031.61,Pago Nóminas 202412,,EUR,silviamunoz,01
BAN,12,112400713,16/12/2024,27/12/2024,GE,626003,Gastos Bancarios - Transferencias y Cheq,,113.24,113.24,0,Comisiones TF,,EUR,silviamunoz,01
BAN,12,112400713,16/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,,-113.24,0,113.24,Comisiones TF,,EUR,silviamunoz,01
BAN,12,112400714,27/12/2024,27/12/2024,GE,626003,Gastos Bancarios - Transferencias y Cheq,,174.96,174.96,0,Comisiones TF,,EUR,silviamunoz,01
BAN,12,112400714,27/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,,-174.96,0,174.96,Comisiones TF,,EUR,silviamunoz,01
BAN,12,112400715,27/12/2024,27/12/2024,GE,626003,Gastos Bancarios - Transferencias y Cheq,,120,120,0,Comisiones TF Urgentes,,EUR,silviamunoz,01
BAN,12,112400715,27/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,,-120,0,120,Comisiones TF Urgentes,,EUR,silviamunoz,01
BAN,12,112400716,27/12/2024,27/12/2024,GE,265000,Depósitos a L/P,,420,420,0,Liquidación comisiones,,EUR,silviamunoz,01
BAN,12,112400716,27/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,,-420,0,420,Liquidación comisiones,,EUR,silviamunoz,01
BAN,12,112400717,09/12/2024,27/12/2024,GE,163312,Deudas L/P Ekon,Pago IVA 202410 Navarra,10091.94,10091.94,0,Pago IVA 202410 Navarra,5025,EUR,silviamunoz,01
BAN,12,112400717,09/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Pago IVA 202410 Navarra,-10091.94,0,10091.94,Pago IVA 202410 Navarra,5025,EUR,silviamunoz,01
BAN,12,112400718,19/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,,-47466.35,0,47466.35,Pago Mod. 111 202411,,EUR,silviamunoz,01
BAN,12,112400718,19/12/2024,27/12/2024,GE,475100,I.R.P.F.,,42171.14,42171.14,0,Pago Mod. 111 202411,,EUR,silviamunoz,01
BAN,12,112400718,19/12/2024,27/12/2024,GE,475104,I.R.P.F. Profesionales,,5295.21,5295.21,0,Pago Mod. 111 202411,,EUR,silviamunoz,01
BAN,12,112400719,04/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Pago Seg. Sociales- Recargo,-1,0,1,Pago Seg. Sociales- Recargo,,EUR,silviamunoz,01
BAN,12,112400719,04/12/2024,27/12/2024,GE,476000,Seguridad Social Acreedora,Pago Seg. Sociales- Recargo,1,1,0,Pago Seg. Sociales- Recargo,,EUR,silviamunoz,01
BAN,12,112400720,27/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Préstamo REVO Systems,-100000,0,100000,Préstamo REVO Systems,2011,EUR,silviamunoz,01
BAN,12,112400720,27/12/2024,27/12/2024,GE,163320,Deudas L/P Revo Systems,Préstamo REVO Systems,100000,100000,0,Préstamo REVO Systems,2011,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,5069.9,5069.9,0,24120003,1225,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,2400,2400,0,FA.AV24/375,1509,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,1300,1300,0,FA.AV24/371,1509,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,4143.42,4143.42,0,0010981599,2304,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,11987.48,11987.48,0,11060,2310,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,14520,14520,0,684 F,5282,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,187818.9,187818.9,0,240105047,1148,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,4912.6,4912.6,0,240105046,1148,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,9825.22,9825.22,0,240105045,1148,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,3169.86,3169.86,0,240105044,1148,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,3630,3630,0,AC24FV110068,1211,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,18718.7,18718.7,0,24110039,1225,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,21.54,21.54,0,FAC E24/91,1110,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,57.83,57.83,0,FAC E24/92,1110,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,5125,5125,0,S24/9172,1120,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,37505,37505,0,FT FA.S24/9393,1120,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,8290,8290,0,FA.2024/363,1136,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,22756.05,22756.05,0,FA.2024/367,1136,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,52030,52030,0,INV-SPA-MA-240228,1067,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,403000,Proveedores. Empresas del Grupo,,26134,26134,0,3189598,2202,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,403000,Proveedores. Empresas del Grupo,,190105.93,190105.93,0,3189597,2202,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,403000,Proveedores. Empresas del Grupo,,135544.66,135544.66,0,3189595,2202,EUR,silviamunoz,01
BAN,12,112400721,16/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,,-745066.09,0,745066.09,,1067,EUR,silviamunoz,01
BAN,12,112400722,16/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,Transferencia Notas,-1537.6,0,1537.6,,,EUR,silviamunoz,01
BAN,12,112400722,16/12/2024,27/12/2024,GE,465005,Remuneraciones pendientes de pago antici,Transferencia Nota  F 68773,300.27,300.27,0,68773,,EUR,silviamunoz,01
BAN,12,112400722,16/12/2024,27/12/2024,GE,465005,Remuneraciones pendientes de pago antici,Transferencia Nota  F 68774,528.28,528.28,0,68774,,EUR,silviamunoz,01
BAN,12,112400722,16/12/2024,27/12/2024,GE,465005,Remuneraciones pendientes de pago antici,Transferencia Nota  F 68796,111.5,111.5,0,68796,,EUR,silviamunoz,00
BAN,12,112400722,16/12/2024,27/12/2024,GE,465005,Remuneraciones pendientes de pago antici,Transferencia Nota  F 68762,205.74,205.74,0,68762,,EUR,silviamunoz,01
BAN,12,112400722,16/12/2024,27/12/2024,GE,465005,Remuneraciones pendientes de pago antici,Transferencia Nota  F 68784,213,213,0,68784,,EUR,silviamunoz,01
BAN,12,112400722,16/12/2024,27/12/2024,GE,465005,Remuneraciones pendientes de pago antici,Transferencia Nota  F 68792,109.27,109.27,0,68792,,EUR,silviamunoz,01
BAN,12,112400722,16/12/2024,27/12/2024,GE,465005,Remuneraciones pendientes de pago antici,Transferencia Nota  F 68746,69.54,69.54,0,68746,,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,,-375621.36,0,375621.36,,1089,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,10600,10600,0,A0008,2513,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,107295.54,107295.54,0,MAD44154534,2863,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,5445,5445,0,MAL44154568,2863,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,12402.5,12402.5,0,ACO44154450,2863,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,768.99,768.99,0,Fra. 418,4382,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,2662,2662,0,BC2412-00029,4383,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,5260,5260,0,24110022,1355,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,8850.66,8850.66,0,2024/10070,2001,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,16960,16960,0,OAK- 2412,2065,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,7208,7208,0,21/2024,2100,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,5326.81,5326.81,0,MAD44129234,2127,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,18700,18700,0,EU005471693,2226,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,12100,12100,0,AC24FV110589,1211,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,363,363,0,AC24FV110588,1211,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,60271.64,60271.64,0,2421064,1315,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,74.2,74.2,0,F00035/24,1345,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,355,355,0,FR ATSIRE01FR/1,1349,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,3945,3945,0,24110021,1355,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,1273.72,1273.72,0,94217230730,1089,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,29526,29526,0,FT 2024/601,1123,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,3000,3000,0,ZFTF BB31/0310150191,1144,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,-3000,0,3000,BB41/0410004948,1144,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,3000,3000,0,BB31/0310150333,1144,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,7809.03,7809.03,0,240105048,1148,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,58.08,58.08,0,FVR24-006422,4545,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,217.8,217.8,0,FVR24-006421,4545,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,692.12,692.12,0,FVR24-006685,4545,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,13298.93,13298.93,0,FVR24-006363,4545,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,400000,Cuenta mayor de proveedores,,6375,6375,0,22044319,1305,EUR,silviamunoz,01
BAN,12,112400723,27/12/2024,27/12/2024,GE,403000,Proveedores. Empresas del Grupo,,34782.34,34782.34,0,FAG.2024G/51,2184,EUR,silviamunoz,01
BAN,12,112400724,03/12/2024,27/12/2024,ge,572022,Banco Sabadell Atlántico - 1834494,,-824.21,0,824.21,Solred- Pago fra.,1216,EUR,silviamunoz,01
BAN,12,112400724,03/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,824.21,824.21,0,A001342951,1216,EUR,silviamunoz,01
BAN,12,112400725,04/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,8798,8798,0,17/2024,2100,EUR,silviamunoz,01
BAN,12,112400725,04/12/2024,27/12/2024,ge,572022,Banco Sabadell Atlántico - 1834494,,-8798,0,8798,MAICA TRINIDAD-  Pago fra.,2100,EUR,silviamunoz,01
BAN,12,112400726,04/12/2024,27/12/2024,ge,572022,Banco Sabadell Atlántico - 1834494,,-6.29,0,6.29,COLEGIO DE REGISTRADORES-  Pago fra.,4928,EUR,silviamunoz,01
BAN,12,112400726,04/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,6.29,6.29,0,2024/307877,4928,EUR,silviamunoz,01
BAN,12,112400727,16/12/2024,27/12/2024,ge,572022,Banco Sabadell Atlántico - 1834494,,-8301.58,0,8301.58,Avoris-  Pago fra.,2837,EUR,silviamunoz,01
BAN,12,112400727,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,1798.41,1798.41,0,24R1541B00000596,2837,EUR,silviamunoz,01
BAN,12,112400727,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,1189.03,1189.03,0,24R1541B00000656,2837,EUR,silviamunoz,01
BAN,12,112400727,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,197.48,197.48,0,24R1541S00000558,2837,EUR,silviamunoz,01
BAN,12,112400727,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,1539.6,1539.6,0,24R1541S00000606,2837,EUR,silviamunoz,01
BAN,12,112400727,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,1363.91,1363.91,0,24R1541Y00001219,2837,EUR,silviamunoz,01
BAN,12,112400727,16/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,2213.15,2213.15,0,24R1541Y00001345,2837,EUR,silviamunoz,01
BAN,12,112400728,19/12/2024,27/12/2024,ge,572022,Banco Sabadell Atlántico - 1834494,,-2788.66,0,2788.66,Orange España-  Pago fra.,4745,EUR,silviamunoz,01
BAN,12,112400728,19/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,400.33,400.33,0,A10019348710-1224,4745,EUR,silviamunoz,01
BAN,12,112400728,19/12/2024,27/12/2024,GE,410000,Cuenta mayor de acreedores,,2388.33,2388.33,0,A10019348711-1224,4745,EUR,silviamunoz,01
BAN,12,112400729,11/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,,-234.3,0,234.3,SISQUELLA - Pago fra.,1011,EUR,silviamunoz,01
BAN,12,112400729,11/12/2024,27/12/2024,GE,407000,Anticipos a proveedores,,234.3,234.3,0,SISQUELLA - Pago fra.,1011,EUR,silviamunoz,01
BAN,12,112400730,16/12/2024,27/12/2024,GE,625009,Otros Seguros,,-218.07,0,218.07,Quality Brokers SL- Extorno,1405,EUR,silviamunoz,01
BAN,12,112400730,16/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,,218.07,218.07,0,Quality Brokers SL- Extorno,1405,EUR,silviamunoz,01
BAN,12,112400731,17/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,,-515.1,0,515.1,IESE Business School- Cuota 2024-2025,2280,EUR,silviamunoz,01
BAN,12,112400731,17/12/2024,27/12/2024,GE,407000,Anticipos a proveedores,,515.1,515.1,0,IESE Business School- Cuota 2024-2025,2280,EUR,silviamunoz,01
BAN,12,112400732,18/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,,-325,0,325,LALA CATERING - Pago fra.,1233,EUR,silviamunoz,01
BAN,12,112400732,18/12/2024,27/12/2024,GE,407000,Anticipos a proveedores,,325,325,0,LALA CATERING - Pago fra.,1233,EUR,silviamunoz,01
BAN,12,112400733,18/12/2024,27/12/2024,GE,572022,Banco Sabadell Atlántico - 1834494,,-292.11,0,292.11,GRUP BOIRA BARS - Pago fra.,1232,EUR,silviamunoz,01
