Asiento,Comentario,Descripción,Cuenta,Debe,Haber
251182,Apertura,SIMPLEFRUIT ESPAÑA. S.L.U.,4000520,,523.94 
251182,Apertura,LLORENTE Y CUENCA MADRID. S.L.,4000521,,8.516.59 
251182,Apertura,IBAÑEZ LLUNDAIN. ANA MARIA,4000526,,24.20 
251182,Apertura,SEIDOR CONSULTING,4000537,,1.887.60 
251182,Apertura,MAKRO AUTOSERVICIO MAYORISTA. S.A.,4000593,,118.19 
251182,Apertura,PILLALOS TIAYDE. S.L.,4000619,,1.400.00 
251182,Apertura,AMAZON BUSINESS EU. S.A.R.L.,4000630,,974.30 
251182,Apertura,METEOR TRANSPORT URGENT. S.L.,4000637,,32.71 
251182,Apertura,PORTIER EATS SPAIN. S.L.,4000647,,3.637.30 
251182,Apertura,SERVICIOS INTEGRALES DE MANTENIMIENTO SIMALGA. S.L,4000651,,65.35 
251182,Apertura,NEW ESPRESSO. S.L.,4000652,59.18 ,
251182,Apertura,ERIC KAYSER ESPAÑA. S.L.,4000682,,429.49 
251182,Apertura,ETAILERS ECOMMERCE. S.L.,4000685,75.60 ,
251182,Apertura,MAD T1 CAR 2017. S.L.,4000686,,35.77 
251182,Apertura,NO QUIERO TRABAJAR. S.L.,4000694,,23.98 
251182,Apertura,MINGTANG CREATIVE (HONGKONG) LIMITED,4000695,,662.87 
251182,Apertura,RAMS COURIER. S.L.,4000698,,91.55 
251182,Apertura,UBER. B.V. / AEROCITY. S.L.,4000703,,550.19 
251182,Apertura,M&A INVESTMENT NETWORK. S.L.,4000710,,24.714.64 
251182,Apertura,SHENZHENSHI LINGESHENG DIANZISHANGWU,4000717,,19.38 
251182,Apertura,MOMNOON ECOFF. S.L.,4000734,,207.20 
251182,Apertura,JIEYANGSHIJIEDONGQXICHANZHENYANGYEWUJINWANGDIAN,4000735,,13.86 
251182,Apertura,SHENZHENSI DESAIKEJI YOUXIANGONGSI LONGFENGYILU,4000736,,10.31 
251182,Apertura,CHENGDU ZHIBOQI WANGLUOKEJI YOUXIANGONGSI,4000737,,23.52 
251182,Apertura,UNIVERSID.DE LA IGLESIA DE DEUSTO,4000782,,363.00 
251182,Apertura,LISHUISHILIJUNLAOWUFU,4000785,,138.88 
251182,Apertura,CAFE DELIZIA DI MARTINELLI PAOLO,4000786,,20.98 
251182,Apertura,PROVEEDORES VARIOS,4005000,2.589.06 ,
251182,Apertura,FACTURAS PENDIENTES DE RECIBIR,4009000,,27.555.50 
251182,Apertura,ANTICIPOS A PROVEEDORES  ,4070000,2.811.05 ,
251182,Apertura,REFINITIV. S.L.,4100059,,46.494.25 
251182,Apertura,LYRECO ESPAÑA..S.A.,4100111,,923.53 
251182,Apertura,SEMOLA RESTAURACION. S.L.,4100127,,732.00 
251182,Apertura,COLEGIO DE REGISTRADORES,4100188,,110.04 
251182,Apertura,BRUSI CATERING,4100208,,1.980.01 
251182,Apertura,AFI,4100215,,4.058.34 
251182,Apertura,VB GLOBAL GROUP. S.L.,4100402,,7.861.17 
251182,Apertura,TFM TELEFONIA FABRICACION Y MANTENIMIENTO,4100403,,96.61 
251182,Apertura,COLUMBIA UNIVERSITY,4100414,5.863.82 ,
251182,Apertura,STJ ADVISORS GROUP LIMITED,4100419,,47.500.00 
251182,Apertura,CAIXABANK. S.A.,4100435,,1.791.59 
251182,Apertura,CELLNEX TELECOM. S.A.,4300094,1.802.900.00 ,
251182,Apertura,STJ ADVISORS GROUP LIMITED,4300118,87.655.70 ,
251182,Apertura,CREA CAPITAL INVESTMENT BANKERS. S.L.,4300168,35.392.50 ,
251182,Apertura,INVERSEGUROS. S.A.,4300186,96.800.00 ,
251182,Apertura,ACERINOX. S.A.,4300189,99.115.07 ,
251182,Apertura,REGASIFICADORA DEL NOROESTE. S.A.,4300192,24.200.00 ,
251182,Apertura,MOLINS FINANCE. S.A.,4300197,60.500.00 ,
251182,Apertura,TEMPLUS CENTROS DE DATOS. S.L.,4300198,756.250.00 ,
251182,Apertura,VESTA INVES. S.A.R.L.,4300393,625.000.00 ,
251182,Apertura,WERFEN. S.A.,4300458,30.348.07 ,
251182,Apertura,JIMENEZ SAINZ. CARLOS Fras.pendientes formalizar,4400193,5.000.00 ,
251182,Apertura,CORRAL RUBIO. JOSE ANTONIO Fra.pendiente formaliz,4400194,5.000.00 ,
251182,Apertura,Pendiente de cobro venta GRUPO GRANSOLAR,4400504,93.482.91 ,
251182,Apertura,REMUNERAC.PENDIENTES PAGO,4650000,,6.554.13 
251182,Apertura,HDA.P.DEUDORA POR IVA    ,4700000,2.110.75 ,
251182,Apertura,HP Deudora devolución Imp Sociedades 2022,4709022,0.01 ,
251182,Apertura,HDA.P.ACREEDORA POR IVA  ,4750000,0.09 ,
251182,Apertura,HDA. P.ACREED.RETENCIONES,4751000,,1.097.466.38 
251182,Apertura,HDA.P. RETENCION PROFESIONALES,4751300,,348.787.33 
251182,Apertura,HDA.P. RETENCION DIVIDENDOS,4751400,,86.955.78 
251182,Apertura,HDA.P.RETENCIONES NO RESIDENTES,4751500,,3.800.00 
251182,Apertura,HDA.P.ACREED.I.SOCIEDADES,4752000,,116.456.32 
251182,Apertura,ORGAN.S.SOCIAL ACREEDORES,4760000,,98.448.39 
251182,Apertura,IMP.SOBRE BENEF.DIFERIDO ,4790000,,19.202.79 
251182,Apertura,VISAS,5200001,,9.018.06 
251182,Apertura,CRETIDO A QEV TECHNOLOGIES,5420001,75.000.00 ,
251182,Apertura,CUENTAS PENDIENTES CON EMPLEADOS Y SOCIOS,5510009,952.06 ,
251182,Apertura,XAVIER ESCUDERO,5510100,,55.800.90 
251182,Apertura,ENRIQUE UGALDE,5510110,,55.800.90 
251182,Apertura,JAVIER JULIA,5510130,,27.900.45 
251182,Apertura,SILVIA COLLADO,5510150,,8.000.37 
251182,Apertura,ENRIQUE SALAMERO,5510160,,27.900.45 
251182,Apertura,VICTOR MATA,5510200,,55.800.90 
251182,Apertura,LUCAFOUR,5510400,,526.469.00 
251182,Apertura,CARLOS TELLEZ,5510600,,55.800.90 
251182,Apertura,FERNANDO SEBASTIAN,5510700,,55.800.90 
251182,Apertura,F.BOADA,5510800,,27.900.45 
251182,Apertura,PARTIDAS PTES.APLICACION ,5550000,15.829.78 ,
251182,Apertura,DIVIDENDO ACTIVO A CUENTA,5570000,984.131.00 ,
251182,Apertura,LA CAIXA 81270,5720700,12.123.943.75 ,
9,Visa,VISAS,5200001,8.991.54 ,
9,Visa,LA CAIXA 81270,5720700,,8.991.54 
10,Aval,SERVICIOS BANCARIOS      ,6260000,697.83 ,
10,Aval,LA CAIXA 81270,5720700,,697.83 
11,Telefonica,TELEFONICA DE ESPAÑA. S.A.U.,4000013,111.93 ,
11,Telefonica,LA CAIXA 81270,5720700,,111.93 
12,Telefonica,TELEFONICA DE ESPAÑA. S.A.U.,4000013,492.47 ,
12,Telefonica,LA CAIXA 81270,5720700,,492.47 
13,Culligan water,CULLIGAN WATER SPAIN. S.L.,4000417,61.37 ,
13,Culligan water,LA CAIXA 81270,5720700,,61.37 
14,El taller de la limpieza,EL TALLER DE LA LIMPIEZA. S.L.,4000072,2.423.16 ,
14,El taller de la limpieza,LA CAIXA 81270,5720700,,2.423.16 
15,Cafe delizia,CAFE DELIZIA DI MARTINELLI PAOLO,4000786,20.98 ,
15,Amazon,AMAZON BUSINESS EU. S.A.R.L.,4000630,13.20 ,
15,Amazon,LA CAIXA 81270,5720700,,34.18 
16,Martinez Ferrando y asoc.,MARTINEZ FERRANDO Y ASOC.,4000003,2.807.20 ,
16,Martinez Ferrando y asoc.,LA CAIXA 81270,5720700,,2.807.20 
17,Prodwate spain,PRODWARE SPAIN,4000211,4.679.09 ,
17,Prodwate spain,LA CAIXA 81270,5720700,,4.679.09 
18,Custodia de valores,CAIXABANK. S.A.,4100435,1.791.59 ,
18,Custodia de valores,LA CAIXA 81270,5720700,,1.791.59 
19,Intereses,LA CAIXA 81270,5720700,39.034.95 ,
19,Intereses,OTROS INGRE.FINANC.(C.C.),7690000,,39.034.95 
20,Retencion fiscal,HDA.P.RETENC.Y PAGO A CTA,4730000,7.416.64 ,
20,Retencion fiscal,LA CAIXA 81270,5720700,,7.416.64 
251365,varios,PROVEEDORES VARIOS,4005000,,130.73 
251365,varios,OTROS SERVICIOS          ,6290000,130.73 ,
251427,Varios (EDelcampo),PROVEEDORES VARIOS,4005000,130.73 ,
251427,Varios (EDelcampo),CUENTAS PENDIENTES CON EMPLEADOS Y SOCIOS,5510009,,130.73 
,,,,,
Fecha: 02/01/2024,,,,,
21,comision,SERVICIOS BANCARIOS      ,6260000,8.00 ,
21,comision,LA CAIXA 81270,5720700,,8.00 
22,Fijo,TELEFONICA DE ESPAÑA. S.A.U.,4000013,3.227.15 ,
22,Fijo,LA CAIXA 81270,5720700,,3.227.15 
23,movil,TELEFONICA MOVILES ESPAÑA. S.A.,4000004,681.98 ,
23,movil,LA CAIXA 81270,5720700,,681.98 
24,Circulo ecuestre,CIRCULO ECUESTRE,4000094,372.00 ,
24,Circulo ecuestre,LA CAIXA 81270,5720700,,372.00 
25,Circulo ecuestre,CIRCULO ECUESTRE,4000094,372.00 ,
25,Circulo ecuestre,LA CAIXA 81270,5720700,,372.00 
26,Circulo ecuestre,CIRCULO ECUESTRE,4000094,372.00 ,
26,Circulo ecuestre,LA CAIXA 81270,5720700,,372.00 
27,Circulo ecuestre,CIRCULO ECUESTRE,4000094,372.00 ,
27,Circulo ecuestre,LA CAIXA 81270,5720700,,372.00 
28,Josel,JOSEL S.L.U.,4000187,121.00 ,
28,Josel,LA CAIXA 81270,5720700,,121.00 
29,Josel,JOSEL S.L.U.,4000187,121.00 ,
29,Josel,LA CAIXA 81270,5720700,,121.00 
30,Josel,JOSEL S.L.U.,4000187,121.00 ,
30,Josel,LA CAIXA 81270,5720700,,121.00 
31,Josel,JOSEL S.L.U.,4000187,186.87 ,
31,Josel,LA CAIXA 81270,5720700,,186.87 
32,Josel,JOSEL S.L.U.,4000187,186.87 ,
32,Josel,LA CAIXA 81270,5720700,,186.87 
33,Josel,JOSEL S.L.U.,4000187,186.87 ,
33,Josel,LA CAIXA 81270,5720700,,186.87 
34,Lyreco España,LYRECO ESPAÑA..S.A.,4100111,872.98 ,
34,Lyreco España,LA CAIXA 81270,5720700,,872.98 
213,Circulo ecuestre s/fra.C24/00957,CIRCULO ECUESTRE,4000094,,372.00 
213,Circulo ecuestre s/fra.C24/00957,SUSCRIPCIONES,6296000,372.00 ,
214,Circulo ecuestre s/fra.C24/00956,CIRCULO ECUESTRE,4000094,,372.00 
214,Circulo ecuestre s/fra.C24/00956,SUSCRIPCIONES,6296000,372.00 ,
215,Circulo ecuestre s/fra.C24/00955,CIRCULO ECUESTRE,4000094,,372.00 
215,Circulo ecuestre s/fra.C24/00955,SUSCRIPCIONES,6296000,372.00 ,
216,Circulo ecuestre s/fra.C24/00775,CIRCULO ECUESTRE,4000094,,372.00 
216,Circulo ecuestre s/fra.C24/00775,SUSCRIPCIONES,6296000,372.00 ,
312,MC Global fabrics (MA),MC GLOBAL FABRICS. S.L.,4000791,310.81 ,
312,MC Global fabrics (MA),VISAS,5200001,,310.81 
866,Ajuste saldo,OTROS SERVICIOS          ,6290000,,1.10 
866,Ajuste saldo,LA CAIXA 81270,5720700,1.10 ,
,,,,,
Fecha: 03/01/2024,,,,,
1,STJ Advisors Group Limited fa.A-783,STJ ADVISORS GROUP LIMITED,4300118,1.405.79 ,
1,STJ Advisors Group Limited fa.A-783,HDA.P.IVA REPERCUTIDO    ,4770000,,243.98 
1,STJ Advisors Group Limited fa.A-783,INGRESOS POR ARRENDAMIEN.,7520000,,1.161.81 
2,Jose Antonio Corral Rubio fra.A-785,CORRAL RUBIO. JOSE ANTONIO,4300194,6.050.00 ,
2,Jose Antonio Corral Rubio fra.A-785,HDA.P.IVA REPERCUTIDO    ,4770000,,1.050.00 
2,Jose Antonio Corral Rubio fra.A-785,CORRAL RUBIO. JOSE ANTONIO Fra.pendiente formaliz,4400194,,5.000.00 
3,STJ Advisors Group Limited fra.A-784,STJ ADVISORS GROUP LIMITED,4300118,11.250.00 ,
3,STJ Advisors Group Limited fra.A-784,STJ ADVISORS GROUP LIMITED,7050118,,11.250.00 
4,Carlos Jímenez Sainz fra.A-786,JIMENEZ SAIZ. CARLOS,4300193,6.050.00 ,
4,Carlos Jímenez Sainz fra.A-786,HDA.P.IVA REPERCUTIDO    ,4770000,,1.050.00 
4,Carlos Jímenez Sainz fra.A-786,JIMENEZ SAINZ. CARLOS Fras.pendientes formalizar,4400193,,5.000.00 
35,comision,SERVICIOS BANCARIOS      ,6260000,7.50 ,
35,comision,LA CAIXA 81270,5720700,,7.50 
36,STJ Advisors,STJ ADVISORS GROUP LIMITED,4100419,5.000.00 ,
36,STJ Advisors,LA CAIXA 81270,5720700,,5.000.00 
37,comision,SERVICIOS BANCARIOS      ,6260000,7.50 ,
37,comision,LA CAIXA 81270,5720700,,7.50 
38,Stj advisors,STJ ADVISORS GROUP LIMITED,4100419,5.000.00 ,
38,Stj advisors,LA CAIXA 81270,5720700,,5.000.00 
39,comision,SERVICIOS BANCARIOS      ,6260000,6.28 ,
39,comision,LA CAIXA 81270,5720700,,6.28 
41,comision,SERVICIOS BANCARIOS      ,6260000,3.00 ,
41,comision,LA CAIXA 81270,5720700,,3.00 
42,Mingtang creative,MINGTANG CREATIVE (HONGKONG) LIMITED,4000695,662.87 ,
42,Mingtang creative,LA CAIXA 81270,5720700,,662.87 
43,Nominas,REMUNERAC.PENDIENTES PAGO,4650000,6.999.68 ,
43,Nominas,LA CAIXA 81270,5720700,,6.999.68 
44,Pillalos tiayde,PILLALOS TIAYDE. S.L.,4000619,1.400.00 ,
44,Pillalos tiayde,LA CAIXA 81270,5720700,,1.400.00 
45,Univ.Iglesia de deu,UNIVERSID.DE LA IGLESIA DE DEUSTO,4000782,363.00 ,
45,Univ.Iglesia de deu,LA CAIXA 81270,5720700,,363.00 
46,Ana María Ibañez,IBAÑEZ LLUNDAIN. ANA MARIA,4000526,24.20 ,
46,Ana María Ibañez,LA CAIXA 81270,5720700,,24.20 
47,Cabify España,CABIFY ESPAÑA. S.A.,4000217,334.80 ,
47,Cabify España,LA CAIXA 81270,5720700,,334.80 
48,Moomon ecoff,MOMNOON ECOFF. S.L.,4000734,207.20 ,
48,Moomon ecoff,LA CAIXA 81270,5720700,,207.20 
49,Serv.integrales mant.,SERVICIOS INTEGRALES DE MANTENIMIENTO SIMALGA. S.L,4000651,65.35 ,
49,Serv.integrales mant.,LA CAIXA 81270,5720700,,65.35 
50,Rams courier,RAMS COURIER. S.L.,4000698,46.54 ,
50,Rams courier,LA CAIXA 81270,5720700,,46.54 
51,M A Investment network,M&A INVESTMENT NETWORK. S.L.,4000710,24.714.64 ,
51,M A Investment network,LA CAIXA 81270,5720700,,24.714.64 
52,Notarios Monte Esquinza,NOTARIOS MONTE ESQUINZA,4000054,13.34 ,
52,Notarios Monte Esquinza,LA CAIXA 81270,5720700,,13.34 
53,Adeslas,SEGURCAIXA ADESLAS. S.A. DE SEGUROS Y REASEGUROS,4000113,651.48 ,
53,Adeslas,LA CAIXA 81270,5720700,,651.48 
54,Guarderia,OTROS GASTOS SOCIALES    ,6490000,560.00 ,
54,Guarderia,LA CAIXA 81270,5720700,,560.00 
55,Multianau,MULTIANAU. S.L.,4000220,3.595.03 ,
55,Multianau,LA CAIXA 81270,5720700,,3.595.03 
56,Mutua madrileña,MUTUA MADRILEÑA AUTOMOVILISTA     ,4100041,10.790.50 ,
56,Mutua madrileña,LA CAIXA 81270,5720700,,10.790.50 
57,Mutua madrileña,MUTUA MADRILEÑA AUTOMOVILISTA     ,4100041,47.679.58 ,
57,Mutua madrileña,LA CAIXA 81270,5720700,,47.679.58 
329,Uber B.V. s/fra.12-2023-0000008,UBER. B.V. / AEROCITY. S.L.,4000703,,3.31 
329,Uber B.V. s/fra.12-2023-0000008,TRANSPORTES              ,6240000,3.31 ,
34494,Stichting custodian,LA CAIXA 81270,5720700,,4.187.49 
34494,Portiers eats gto.1922/23,PORTIER EATS SPAIN. S.L.,4000647,3.637.30 ,
34494,Uber gto.1923/23,UBER. B.V. / AEROCITY. S.L.,4000703,517.82 ,
34494,Uber gto.1924/23,UBER. B.V. / AEROCITY. S.L.,4000703,32.37 ,
,,,,,
Fecha: 04/01/2024,,,,,
58,Inmobiliaria colonial,INMOBILIARIA COLONIAL. S.A.,4100186,258.78 ,
58,Inmobiliaria colonial,LA CAIXA 81270,5720700,,258.78 
59,Inmobiliaria colonial,INMOBILIARIA COLONIAL. S.A.,4100186,27.688.09 ,
59,Inmobiliaria colonial,LA CAIXA 81270,5720700,,27.688.09 
60,comision,SERVICIOS BANCARIOS      ,6260000,1.14 ,
60,comision,LA CAIXA 81270,5720700,,1.14 
,,,,,
Fecha: 05/01/2024,,,,,
61,Guarderia,OTROS GASTOS SOCIALES    ,6490000,74.00 ,
61,Guarderia,LA CAIXA 81270,5720700,,74.00 
62,Cercle de economia,ASSOCIACIÓ CERCLE D'ECONOMIA,4000796,300.00 ,
62,Cercle de economia,LA CAIXA 81270,5720700,,300.00 
306,Mallorca (MA),MALLORCA TALLERES ARTESANOS. S.L.,4100176,34.00 ,
306,Mallorca (MA),VISAS,5200001,,34.00 
,,,,,
Fecha: 08/01/2024,,,,,
63,Seidor cons.,SEIDOR CONSULTING,4000537,943.80 ,
63,Seidor cons.,LA CAIXA 81270,5720700,,943.80 
35195,comida,PROVEEDORES VARIOS,4005000,,8.90 
35195,comida,COMIDAS EMPLEADOS,6292100,8.90 ,
35653,comida JLC,PROVEEDORES VARIOS,4005000,8.90 ,
35653,comida JLC,VISAS,5200001,,8.90 
,,,,,
Fecha: 09/01/2024,,,,,
64,Amazon,AMAZON BUSINESS EU. S.A.R.L.,4000630,58.18 ,
64,Amazon,LA CAIXA 81270,5720700,,58.18 
65,Brusi catering,BRUSI CATERING,4100208,1.980.00 ,
65,Brusi catering,LA CAIXA 81270,5720700,,1.980.00 
308,Mallorca (MA),MALLORCA TALLERES ARTESANOS. S.L.,4100176,40.50 ,
308,Mallorca (MA),VISAS,5200001,,40.50 
,,,,,
Fecha: 10/01/2024,,,,,
66,Werfen cobro fra.A-778/23,LA CAIXA 81270,5720700,30.348.07 ,
66,Werfen cobro fra.A-778/23,WERFEN. S.A.,4300458,,30.348.07 
67,Culligan water,CULLIGAN WATER SPAIN. S.L.,4000417,97.89 ,
67,Culligan water,LA CAIXA 81270,5720700,,97.89 
68,Ecotaxi barcelona,TAXI ECOLOGIC BCN,4000209,310.19 ,
68,Ecotaxi barcelona,LA CAIXA 81270,5720700,,310.19 
69,Guarderia,OTROS GASTOS SOCIALES    ,6490000,463.96 ,
69,Guarderia,LA CAIXA 81270,5720700,,463.96 
70,TFM,TFM TELEFONIA FABRICACION Y MANTENIMIENTO,4100403,96.61 ,
70,TFM,LA CAIXA 81270,5720700,,96.61 
71,Ricoh España,RICOH ESPAÑA. S.L.,4000040,754.58 ,
71,Ricoh España,LA CAIXA 81270,5720700,,754.58 
72,Ricoh España,RICOH ESPAÑA. S.L.,4000040,1.314.97 ,
72,Ricoh España,LA CAIXA 81270,5720700,,1.314.97 
73,Acerinox cobro fra.A-749 y A-764,LA CAIXA 81270,5720700,60.500.00 ,
73,Acerinox cobro fra.A-749 y A-764,ACERINOX. S.A.,4300189,,60.500.00 
307,Mallorca (MA),MALLORCA TALLERES ARTESANOS. S.L.,4100176,224.50 ,
307,Mallorca (MA),VISAS,5200001,,224.50 
309,Auara (MA),AUARA EMPRESA SOCIAL,4000697,72.00 ,
309,Auara (MA),VISAS,5200001,,72.00 
35186,Taxis,PROVEEDORES VARIOS,4005000,,17.45 
35186,Taxis,TRANSPORTES              ,6240000,17.45 ,
35194,comida,PROVEEDORES VARIOS,4005000,,8.90 
35194,comida,COMIDAS EMPLEADOS,6292100,8.90 ,
35644,taxis VM,PROVEEDORES VARIOS,4005000,17.45 ,
35644,taxis VM,VISAS,5200001,,17.45 
35652,comida JLC,PROVEEDORES VARIOS,4005000,8.90 ,
35652,comida JLC,VISAS,5200001,,8.90 
,,,,,
Fecha: 11/01/2024,,,,,
74,Carlos Jimenez Sainz cobro fra.A-786,LA CAIXA 81270,5720700,6.050.00 ,
74,Carlos Jimenez Sainz cobro fra.A-786,JIMENEZ SAIZ. CARLOS,4300193,,6.050.00 
303,Adobe systems (CT),ADOBE SYSTEMS SOFTWARE,4000117,19.99 ,
303,Adobe systems (CT),VISAS,5200001,,19.99 
35196,comida,PROVEEDORES VARIOS,4005000,,10.70 
35196,comida,PUBLIC.PROPAG.RELAC.PUBL.,6270000,10.70 ,
35654,comida JLC,PROVEEDORES VARIOS,4005000,10.70 ,
35654,comida JLC,VISAS,5200001,,10.70 
,,,,,
Fecha: 12/01/2024,,,,,
830,Altrum group s/fra.00126886,ALTRUM GROUP INC,4000158,,2.090.07 
830,Altrum group s/fra.00126886,PUBLIC.PROPAG.RELAC.PUBL.,6270000,2.090.07 ,
,,,,,
Fecha: 14/01/2024,,,,,
705,Mailchimp s/fra.MC20048218,MAILCHIMP/GROUP LLC,4000684,,17.92 
705,Mailchimp s/fra.MC20048218,OTROS SERVICIOS          ,6290000,17.92 ,
807,Mailchimp,MAILCHIMP/GROUP LLC,4000684,17.92 ,
807,Mailchimp,VISAS,5200001,,17.92 
,,,,,
Fecha: 15/01/2024,,,,,
75,comision,SERVICIOS BANCARIOS      ,6260000,18.75 ,
75,comision,LA CAIXA 81270,5720700,,18.75 
76,Stj advisors,STJ ADVISORS GROUP LIMITED,4100419,12.500.00 ,
76,Stj advisors,LA CAIXA 81270,5720700,,12.500.00 
77,Stj advisors,STJ ADVISORS GROUP LIMITED,4100419,12.500.00 ,
77,Stj advisors,LA CAIXA 81270,5720700,,12.500.00 
78,comision,SERVICIOS BANCARIOS      ,6260000,18.75 ,
78,comision,LA CAIXA 81270,5720700,,18.75 
79,Pillalos tiayde,PILLALOS TIAYDE. S.L.,4000619,2.187.00 ,
79,Pillalos tiayde,LA CAIXA 81270,5720700,,2.187.00 
80,Llorente y cuenca Madrid,LLORENTE Y CUENCA MADRID. S.L.,4000521,8.140.28 ,
80,Llorente y cuenca Madrid,LA CAIXA 81270,5720700,,8.140.28 
81,Llorente y cuenca Madrid,LLORENTE Y CUENCA MADRID. S.L.,4000521,376.31 ,
81,Llorente y cuenca Madrid,LA CAIXA 81270,5720700,,376.31 
82,Eric Kayser España,ERIC KAYSER ESPAÑA. S.L.,4000682,429.49 ,
82,Eric Kayser España,LA CAIXA 81270,5720700,,429.49 
83,Semola restauraciion,SEMOLA RESTAURACION. S.L.,4100127,732.00 ,
83,Semola restauraciion,LA CAIXA 81270,5720700,,732.00 
84,Simplefruit España,SIMPLEFRUIT ESPAÑA. S.L.U.,4000520,258.06 ,
84,Simplefruit España,LA CAIXA 81270,5720700,,258.06 
85,Simplefruit España,SIMPLEFRUIT ESPAÑA. S.L.U.,4000520,265.88 ,
85,Simplefruit España,LA CAIXA 81270,5720700,,265.88 
86,Dekom visual solutions,DEKOM VISUAL SOLUTIONS. S.L.,4000408,14.422.72 ,
86,Dekom visual solutions,LA CAIXA 81270,5720700,,14.422.72 
87,Meteor transport,METEOR TRANSPORT URGENT. S.L.,4000637,32.71 ,
87,Meteor transport,LA CAIXA 81270,5720700,,32.71 
88,AFI,AFI,4100215,4.058.34 ,
88,AFI,LA CAIXA 81270,5720700,,4.058.34 
251959,Taxis,PROVEEDORES VARIOS,4005000,,14.55 
251959,Taxis,TRANSPORTES              ,6240000,14.55 ,
252285,Taxis (JC),PROVEEDORES VARIOS,4005000,14.55 ,
252285,Taxis (JC),VISAS,5200001,,14.55 
,,,,,
Fecha: 16/01/2024,,,,,
89,Molins finance,LA CAIXA 81270,5720700,60.500.00 ,
89,Molins finance,MOLINS FINANCE. S.A.,4300197,,60.500.00 
90,Jose Antonio Corral,LA CAIXA 81270,5720700,6.050.00 ,
90,Jose Antonio Corral,CORRAL RUBIO. JOSE ANTONIO,4300194,,6.050.00 
91,New espresso dev.,NEW ESPRESSO. S.L.,4000652,,29.81 
91,New espresso dev.,LA CAIXA 81270,5720700,29.81 ,
92,New espresso dev,NEW ESPRESSO. S.L.,4000652,,29.37 
92,New espresso dev,LA CAIXA 81270,5720700,29.37 ,
93,Endesa,ENDESA ENERGIA. S.A.,4000068,504.46 ,
93,Endesa,LA CAIXA 81270,5720700,,504.46 
94,Endesa,ENDESA ENERGIA. S.A.,4000068,580.65 ,
94,Endesa,LA CAIXA 81270,5720700,,580.65 
95,Amazon,AMAZON BUSINESS EU. S.A.R.L.,4000630,184.48 ,
